row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số năm nay,Số năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,12.839.301.284.671,11.830.033.488.478,,1.0,,12839301284671.0,11830033488478.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,12.839.301.284.671,11.830.033.488.478,,10.0,,12839301284671.0,11830033488478.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,11.611.330.946.505,10.592.634.223.554,,11.0,,11611330946505.0,10592634223554.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.227.970.338.166,1.237.399.264.924,,20.0,,1227970338166.0,1237399264924.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,227.943.014.945,228.488.433.692,,21.0,,227943014945.0,228488433692.0
7.,7.,7.,Chi phí tài chính,22,VI.4,315.466.421.080,471.341.200.805,,22.0,,315466421080.0,471341200805.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,219.998.428.909,371.501.457.645,,23.0,,219998428909.0,371501457645.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,,24.0,,,
9.,9.,9.,Chi phí bán hàng,25,VI.5,420.932.768,626.546.470,,25.0,,420932768.0,626546470.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.6,394.732.190.521,376.243.287.375,,26.0,,394732190521.0,376243287375.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,745.293.808.742,617.676.663.966,,30.0,,745293808742.0,617676663966.0
12.,12.,12.,Thu nhập khác,31,VI.7,22.295.256.031,5.014.491.824,,31.0,,22295256031.0,5014491824.0
13.,13.,13.,Chi phí khác,32,VI.8,16.927.158.354,2.881.134.406,,32.0,,16927158354.0,2881134406.0
14.,14.,14.,Lợi nhuận khác,40,,5.368.097.677,2.133.357.418,,40.0,,5368097677.0,2133357418.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,750.661.906.419,619.810.021.384,,50.0,,750661906419.0,619810021384.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.10,60.185.404.628,76.492.254.019,,51.0,,60185404628.0,76492254019.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,VI.10,1.268.616.141,-,,52.0,,1268616141.0,
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,689.207.885.650,543.317.767.365,,60.0,,689207885650.0,543317767365.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,691.318.321.856,544.161.189.385,,61.0,,691318321856.0,544161189385.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(2.110.436.206),(843.422.020),,62.0,,-2110436206.0,-843422020.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.11,1.013,728,,70.0,,1013.0,728.0
