row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số năm trước(Trước điều chỉnh),Điều chỉnh,Số năm trước(Sau điều chỉnh),numeric__Mã số,numeric__Số năm trước(Trước điều chỉnh),numeric__Điều chỉnh,numeric__Số năm trước(Sau điều chỉnh)
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,10.595.351.764.607,(2.717.541.053),10.592.634.223.554,11.0,10595351764607.0,-2717541053.0,10592634223554.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,1.234.681.723.871,2.717.541.053,1.237.399.264.924,20.0,1234681723871.0,2717541053.0,1237399264924.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,2.218.711.007,(1.592.164.537),626.546.470,25.0,2218711007.0,-1592164537.0,626546470.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,613.366.958.376,4.309.705.590,617.676.663.966,30.0,613366958376.0,4309705590.0,617676663966.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,4.861.617.393,152.874.431,5.014.491.824,31.0,4861617393.0,152874431.0,5014491824.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,1.980.482.987,152.874.431,2.133.357.418,40.0,1980482987.0,152874431.0,2133357418.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,615.347.441.363,4.462.580.021,619.810.021.384,50.0,615347441363.0,4462580021.0,619810021384.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,75.336.615.002,1.155.639.017,76.492.254.019,51.0,75336615002.0,1155639017.0,76492254019.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,540.010.826.361,3.306.941.004,543.317.767.365,60.0,540010826361.0,3306941004.0,543317767365.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,540.902.267.124,3.258.922.261,544.161.189.385,61.0,540902267124.0,3258922261.0,544161189385.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,(891.440.763),48.018.743,(843.422.020),62.0,-891440763.0,48018743.0,-843422020.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,792,(64),728,70.0,792.0,-64.0,728.0
