row_label_raw,row_label_full,Bên liên quan,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,1.734.463.368.823,2.079.477.928.059,1734463368823.0,2079477928059.0
Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,803.136.152,1.747.858.801,803136152.0,1747858801.0
"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin",,,,
Công ty CP Vật tư - TKV,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty CP Vật tư - TKV",Công ty CP Vật tư - TKV,11.367.181.283,333.687.770,11367181283.0,333687770.0
Công ty CP công nghiệp ô tô - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty CP công nghiệp ô tô - Vinacomin",Công ty CP công nghiệp ô tô - Vinacomin,-,336.926.630,,336926630.0
Viện cơ khí năng lượng và mô - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Viện cơ khí năng lượng và mô - Vinacomin",Viện cơ khí năng lượng và mô - Vinacomin,638.174.503,943.979.239,638174503.0,943979239.0
Trường Quản trị kinh doanh Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Trường Quản trị kinh doanh Vinacomin",Trường Quản trị kinh doanh Vinacomin,82.072.000,9.610.000,82072000.0,9610000.0
Công ty CP Xuất nhập khẩu than - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty CP Xuất nhập khẩu than - Vinacomin",Công ty CP Xuất nhập khẩu than - Vinacomin,1.197.416.921,5.416.271.746,1197416921.0,5416271746.0
Công ty TNHH MTV Môi trường - TKV,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty TNHH MTV Môi trường - TKV",Công ty TNHH MTV Môi trường - TKV,163.814.400,4.259.892.564,163814400.0,4259892564.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP",Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,4.852.705.509,2.795.271.552,4852705509.0,2795271552.0
Bệnh viện Than - Khoáng sản Việt Nam,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Bệnh viện Than - Khoáng sản Việt Nam",Bệnh viện Than - Khoáng sản Việt Nam,262.441.504,349.686.531,262441504.0,349686531.0
Công ty CP Giám định Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty CP Giám định Vinacomin",Công ty CP Giám định Vinacomin,188.568.000,201.573.000,188568000.0,201573000.0
Viện Khoa học Công nghệ Mỏ - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Viện Khoa học Công nghệ Mỏ - Vinacomin",Viện Khoa học Công nghệ Mỏ - Vinacomin,894.876.040,38.290.909,894876040.0,38290909.0
Trường cao đẳng than - Khoáng sản Việt Nam,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Trường cao đẳng than - Khoáng sản Việt Nam",Trường cao đẳng than - Khoáng sản Việt Nam,283.720.000,-,283720000.0,
Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin",Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,1.934.427.051,7.880.224,1934427051.0,7880224.0
Công ty CP Tư vấn đầu tư mô và công nghiệp - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty CP Tư vấn đầu tư mô và công nghiệp - Vinacomin",Công ty CP Tư vấn đầu tư mô và công nghiệp - Vinacomin,371.129.722,216.245.136,371129722.0,216245136.0
Công ty CP Du lịch và Thương mại - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty CP Du lịch và Thương mại - Vinacomin",Công ty CP Du lịch và Thương mại - Vinacomin,4.094.864.585,2.843.253.373,4094864585.0,2843253373.0
Trung tâm Cấp cứu mô - Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Trung tâm Cấp cứu mô - Vinacomin",Trung tâm Cấp cứu mô - Vinacomin,266.760.000,232.200.000,266760000.0,232200000.0
Công ty Cổ phần Địa Chất và khoáng Sản-Vinacomin,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Công ty Cổ phần Địa Chất và khoáng Sản-Vinacomin",Công ty Cổ phần Địa Chất và khoáng Sản-Vinacomin,593.387.183,-,593387183.0,
Cộng,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin > Cộng",Cộng,1.762.458.043.676,2.099.210.555.534,1762458043676.0,2099210555534.0
