row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP quốc tế ViệtNam - CN Đà Nẵng,Thời hạnvay > 12 tháng,"Lãi suất(%/năm) > 9,0% -9,5%/năm",Mục đích khoản vay > Bổ sung vốn lưu động phục vụhoạt động sản xuất kinh doanh.,"Tài sản đảm bảo > Bất động sản là QSD đất và tài sangan gắn liền với đất tại 425 Trần Cao Vân,quận Thanh Khê, Đà Nẵng; toàn bộhàng tồn kho là than cám khai thác tạimỏ than Nông Sơn.",Số dư tại ngày cuối năm > 21.857.173.987,numeric__Thời hạnvay > 12 tháng,"numeric__Lãi suất(%/năm) > 9,0% -9,5%/năm",numeric__Mục đích khoản vay > Bổ sung vốn lưu động phục vụhoạt động sản xuất kinh doanh.,"numeric__Tài sản đảm bảo > Bất động sản là QSD đất và tài sangan gắn liền với đất tại 425 Trần Cao Vân,quận Thanh Khê, Đà Nẵng; toàn bộhàng tồn kho là than cám khai thác tạimỏ than Nông Sơn.",numeric__Số dư tại ngày cuối năm > 21.857.173.987
Cộng,Cộng,Cộng,,,,,1.739.988.878.128,,,,,1739988878128.0
[2] Vay dài hạn đối tượng khác là bên thứ baBên cho vay,[2] Vay dài hạn đối tượng khác là bên thứ baBên cho vay,[2] Vay dài hạn đối tượng khác là bên thứ baBên cho vay,Thời hạnvay,Lãi suất(%/năm),Mục đích khoản vay,Tài sản đảm bảo,Số dư tại ngày cuối năm,,,,,
Vay cán bộ công nhân viên,[2] Vay dài hạn đối tượng khác là bên thứ baBên cho vay > Vay cán bộ công nhân viên,Vay cán bộ công nhân viên,Dưới 12tháng,"7,9% -9,11%/năm",Bổ sung vốn lưu động phục vụhoạt động sản xuất kinh doanh.,Cấp tín dụng không có đảm bảo bằngtài sản.,15.920.000.000,,,,,15920000000.0
Cộng,[2] Vay dài hạn đối tượng khác là bên thứ baBên cho vay > Cộng,Cộng,,,,,15.920.000.000,,,,,15920000000.0
[3] Vay ngân hàng dài hạnBên cho vay,[3] Vay ngân hàng dài hạnBên cho vay,[3] Vay ngân hàng dài hạnBên cho vay,Thời hạnvay,Lãi suất(%/năm),Mục đích khoản vay,Tài sản đảm bảo,Số dư dài hạnđến hạn trả tạicuối năm,,,,,
Ngân hàng TMCP Đầu tư và Pháttriển Việt Nam -CN Tây Hồ,[3] Vay ngân hàng dài hạnBên cho vay > Ngân hàng TMCP Đầu tư và Pháttriển Việt Nam -CN Tây Hồ,Ngân hàng TMCP Đầu tư và Pháttriển Việt Nam -CN Tây Hồ,84 tháng,"Thả nổi, lãi suất trong kỳtừ 6,78% -7,68%/năm","Thanh toán các chi phí thựchiện các dự án đầu tư tại cácNMND Na Dương, NMNDCao Ngạn, NMND Son Động,NMND Mạo Khê, NMNDCẩm Phả, NMTĐ Đồng Nai 5.",Toàn bộ tài sản hình thành của dự ándầu tư.,11.765.858.545,,,,,11765858545.0
Ngân hàng Sumitomo MitsuiBanking Corporation,[3] Vay ngân hàng dài hạnBên cho vay > Ngân hàng Sumitomo MitsuiBanking Corporation,Ngân hàng Sumitomo MitsuiBanking Corporation,14 năm,"Thả nổi, lãi suất trong kỳtừ 5,97% -7,19%/năm",Đầu tư Nhà máy Thủy điện(NMTĐ) Đồng Nai 5.,Thế chấp tài sản gắn liền với khoảnvay và dự án NMTĐ Đồng Nai 5.,498.244.500.000,,,,,498244500000.0
