row_label_raw,row_label_full,col_0,Số cổ phiếu phổ thông bình quân gia quyền,Lãi cơ bản trên cổ phiếu VND,numeric__Số cổ phiếu phổ thông bình quân gia quyền,numeric__Lãi cơ bản trên cổ phiếu VND
Số báo cáo trước đây,Số báo cáo trước đây,Số báo cáo trước đây,50.112.304,5.395,50112304.0,5395.0
Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu đề trả cổ tức tại ngày 18 tháng 6 năm 2019,Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu đề trả cổ tức tại ngày 18 tháng 6 năm 2019,Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu đề trả cổ tức tại ngày 18 tháng 6 năm 2019,5.010.494,(490),5010494.0,-490.0
Số điều chỉnh lại,Số điều chỉnh lại,Số điều chỉnh lại,55.122.798,4.905,55122798.0,4905.0
