row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,,
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Người bán là các bên liên quan > Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,16.566.155.641,8.274.807.807,16566155641.0,8274807807.0
Công ty Cổ phần Logistics Cảng Đà Nẵng,Người bán là các bên liên quan > Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty Cổ phần Logistics Cảng Đà Nẵng,99.584.320,-,99584320.0,
Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,,
Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Người bán là các bên thứ ba > Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,3.766.984.821,2.821.226.300,3766984821.0,2821226300.0
Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Người bán là các bên thứ ba > Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,3.518.043.267,3.553.238.400,3518043267.0,3553238400.0
Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Người bán là các bên thứ ba > Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,2.574.665.720,2.052.388.250,2574665720.0,2052388250.0
Công ty Cổ phần Cảng Đà Nẵng,Người bán là các bên thứ ba > Công ty Cổ phần Cảng Đà Nẵng,Công ty Cổ phần Cảng Đà Nẵng,1.854.728.970,2.486.594.662,1854728970.0,2486594662.0
Công ty TNHH Xây dựng và Trang trí Nội thất Thăng Long,Người bán là các bên thứ ba > Công ty TNHH Xây dựng và Trang trí Nội thất Thăng Long,Công ty TNHH Xây dựng và Trang trí Nội thất Thăng Long,498.300.000,1.778.620.910,498300000.0,1778620910.0
Công ty TNHH Quốc tế B2B,Người bán là các bên thứ ba > Công ty TNHH Quốc tế B2B,Công ty TNHH Quốc tế B2B,21.835.000,117.150.000,21835000.0,117150000.0
Công ty TNHH Phúc Nam,Người bán là các bên thứ ba > Công ty TNHH Phúc Nam,Công ty TNHH Phúc Nam,-,11.093.364.360,,11093364360.0
Công ty TNHH Tâm Cảng Đình Vũ,Người bán là các bên thứ ba > Công ty TNHH Tâm Cảng Đình Vũ,Công ty TNHH Tâm Cảng Đình Vũ,-,10.015.372.950,,10015372950.0
Công ty Cổ phần Thương mại Dịch vụ Hàng hái,Công ty Cổ phần Thương mại Dịch vụ Hàng hái,Công ty Cổ phần Thương mại Dịch vụ Hàng hái,,,,
Nhạn biển Việt Nam,Công ty Cổ phần Thương mại Dịch vụ Hàng hái > Nhạn biển Việt Nam,Nhạn biển Việt Nam,-,2.225.288.500,,2225288500.0
Các nhà cung cấp khác,Công ty Cổ phần Thương mại Dịch vụ Hàng hái > Các nhà cung cấp khác,Các nhà cung cấp khác,58.008.635.522,52.545.542.467,58008635522.0,52545542467.0
,,,86.908.933.261,96.963.594.606,86908933261.0,96963594606.0
