row_label_raw,row_label_full,col_0,Hoạt động bốc dỡ container VND,"Hoạt động chay lạnh, kiểm hóa, kiểm dịch, lưu kho, lưu bãi VND",Hoạt động vận chuyển VND,Hoạt động khác VND,Tổng cộng VND,numeric__Hoạt động bốc dỡ container VND,"numeric__Hoạt động chay lạnh, kiểm hóa, kiểm dịch, lưu kho, lưu bãi VND",numeric__Hoạt động vận chuyển VND,numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.183.415.617.380,214.351.208.822,207.258.289.824,187.725.508.033,1.792.750.624.059,1183415617380.0,214351208822.0,207258289824.0,187725508033.0,1792750624059.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,1.459.275.189.191,,,,,1459275189191.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,333.475.434.868,,,,,333475434868.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,11.373.580.954,,,,,11373580954.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,14.460.766.264,,,,,14460766264.0
Phần chia lợi nhuận của công ty liên kết,Phần chia lợi nhuận của công ty liên kết,Phần chia lợi nhuận của công ty liên kết,,,,,11.784.815.469,,,,,11784815469.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,56.377.795.663,,,,,56377795663.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,285.795.269.364,,,,,285795269364.0
