row_label_raw,row_label_full,Khoản vay 1 (i) > Khoản vay 2 (ii) > Khoản vay 3 (iii),Loại tiền > VND,"Lãi suất năm > 8% > 6,8%",Năm đáo hạn > 2019 > 2025,31/12/2019 VND > - > 44.341.745.562 > 31.663.712.622,1/1/2019 VND > 2.140.500.000 > 207.341.745.562 > 77.637.712.622,numeric__Loại tiền > VND,"numeric__Lãi suất năm > 8% > 6,8%",numeric__Năm đáo hạn > 2019 > 2025,numeric__31/12/2019 VND > - > 44.341.745.562 > 31.663.712.622,numeric__1/1/2019 VND > 2.140.500.000 > 207.341.745.562 > 77.637.712.622
,,,,,,76.005.458.184,287.119.958.184,,,,76005458184.0,287119958184.0
Khoản đến hạn trả trong vòng 12 tháng (a),Khoản đến hạn trả trong vòng 12 tháng (a),Khoản đến hạn trả trong vòng 12 tháng (a),Khoản đến hạn trả trong vòng 12 tháng (a),Khoản đến hạn trả trong vòng 12 tháng (a),Khoản đến hạn trả trong vòng 12 tháng (a),(11.948.000.000),(14.088.500.000),,,,-11948000000.0,-14088500000.0
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,64.057.458.184,273.031.458.184,,,,64057458184.0,273031458184.0
