row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,803.772.569.428,79.152.121.436,1.199.691.320.914,27.670.154.110,2.110.286.165.888,803772569428.0,79152121436.0,1199691320914.0,27670154110.0,2110286165888.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,164.657.273,12.003.047.273,57.549.951.829,370.870.545,70.088.526.920,164657273.0,12003047273.0,57549951829.0,370870545.0,70088526920.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,103.156.000,37.289.575.409,-,37.392.731.409,,103156000.0,37289575409.0,,37392731409.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(10.839.070.588),-,(10.839.070.588),,,-10839070588.0,,-10839070588.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,803.937.226.701,91.258.324.709,1.283.691.777.564,28.041.024.655,2.206.928.353.629,803937226701.0,91258324709.0,1283691777564.0,28041024655.0,2206928353629.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,305.332.397.776,33.022.725.880,581.553.475.450,11.620.629.967,931.529.229.073,305332397776.0,33022725880.0,581553475450.0,11620629967.0,931529229073.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,57.207.300.360,13.282.145.552,139.404.579.457,2.863.056.681,212.757.082.050,57207300360.0,13282145552.0,139404579457.0,2863056681.0,212757082050.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(10.786.298.470),-,(10.786.298.470),,,-10786298470.0,,-10786298470.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,362.539.698.136,46.304.871.432,710.171.756.437,14.483.686.648,1.133.500.012.653,362539698136.0,46304871432.0,710171756437.0,14483686648.0,1133500012653.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,498.440.171.652,46.129.395.556,618.137.845.464,16.049.524.143,1.178.756.936.815,498440171652.0,46129395556.0,618137845464.0,16049524143.0,1178756936815.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,441.397.528.565,44.953.453.277,573.520.021.127,13.557.338.007,1.073.428.340.976,441397528565.0,44953453277.0,573520021127.0,13557338007.0,1073428340976.0
