row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,501.123.040.000,36.047.891.246,646.581.474.591,284.888.612.943,240.904.659.752,1.709.545.678.532,501123040000.0,36047891246.0,646581474591.0,284888612943.0,240904659752.0,1709545678532.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,6.800.000.000,6.800.000.000,,,,,6800000000.0,6800000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,300.408.605.009,53.836.401.480,354.245.006.489,,,,300408605009.0,53836401480.0,354245006489.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,78.153.177.942,(78.153.177.942),-,-,,,78153177942.0,-78153177942.0,,
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,,,,,,,,,,,,
khen thưởng và phúc lợi,Trích lập quỹ > khen thưởng và phúc lợi,khen thưởng và phúc lợi,-,-,-,(22.285.000.000),-,(22.285.000.000),,,,-22285000000.0,,-22285000000.0
Cổ tức,Trích lập quỹ > Cổ tức,Cổ tức,-,-,-,(100.224.608.000),(1.067.500.000),(101.292.108.000),,,,-100224608000.0,-1067500000.0,-101292108000.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Trích lập quỹ > Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.444.000.000),-,(2.444.000.000),,,,-2444000000.0,,-2444000000.0
Số dư tại ngày 1/1/2019,Trích lập quỹ > Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,501.123.040.000,36.047.891.246,724.734.652.533,382.190.432.010,300.473.561.232,1.944.569.577.021,501123040000.0,36047891246.0,724734652533.0,382190432010.0,300473561232.0,1944569577021.0
Góp vốn,Trích lập quỹ > Góp vốn,Góp vốn,-,-,-,-,891.000.000,891.000.000,,,,,891000000.0,891000000.0
Lợi nhuận thuần trong năm,Trích lập quỹ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,233.977.657.154,51.817.612.210,285.795.269.364,,,,233977657154.0,51817612210.0,285795269364.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,40.800.500.100,(40.800.500.100),-,-,,,40800500100.0,-40800500100.0,,
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,,,,,,,,,,,,
khen thưởng và phúc lợi,Trích lập quỹ > khen thưởng và phúc lợi,khen thưởng và phúc lợi,-,-,-,(25.000.000.000),-,(25.000.000.000),,,,-25000000000.0,,-25000000000.0
Cổ tức (Thuyết minh 22),Trích lập quỹ > Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),50.104.940.000,-,-,(169.371.634.400),(14.261.000.000),(133.527.694.400),50104940000.0,,,-169371634400.0,-14261000000.0,-133527694400.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Trích lập quỹ > Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.650.000.000),-,(2.650.000.000),,,,-2650000000.0,,-2650000000.0
Số dư tại ngày 31/12/2019,Trích lập quỹ > Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,551.227.980.000,36.047.891.246,765.535.152.633,378.345.954.664,338.921.173.442,2.070.078.151.985,551227980000.0,36047891246.0,765535152633.0,378345954664.0,338921173442.0,2070078151985.0
