row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,26.833.820.090.838,40.564.962.776.015,100.0,,26833820090838.0,40564962776015.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,4.233.560.440.456,6.293.595.762.680,110.0,5.0,4233560440456.0,6293595762680.0
Tiền,Tiền,Tiền,111,,3.893.560.440.456,4.473.595.762.680,111.0,,3893560440456.0,4473595762680.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,340.000.000.000,1.820.000.000.000,112.0,,340000000000.0,1820000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,15,10.386.125.769.220,20.142.000.000.000,120.0,15.0,10386125769220.0,20142000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,10.386.125.769.220,20.142.000.000.000,123.0,,10386125769220.0,20142000000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,8.395.738.638.677,12.305.022.253.990,130.0,,8395738638677.0,12305022253990.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,7.246.814.307.642,10.484.946.972.723,131.0,6.0,7246814307642.0,10484946972723.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,7,4.224.243.585.307,4.834.859.212.732,132.0,7.0,4224243585307.0,4834859212732.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,616.278.911.717,648.282.638.719,136.0,8.0,616278911717.0,648282638719.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,9,(3.691.598.165.989),(3.663.066.570.184),137.0,9.0,-3691598165989.0,-3663066570184.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,10,345.255.271.124,288.920.466.298,140.0,10.0,345255271124.0,288920466298.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,345.255.271.124,288.920.466.298,141.0,,345255271124.0,288920466298.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,3.473.139.971.361,1.535.424.293.047,150.0,,3473139971361.0,1535424293047.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,11,55.219.482.107,18.609.149.602,151.0,11.0,55219482107.0,18609149602.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,3.399.380.939.692,1.512.544.175.408,152.0,,3399380939692.0,1512544175408.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,18,18.539.549.562,4.270.968.037,153.0,18.0,18539549562.0,4270968037.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,64.113.984.933.474,35.934.850.678.710,200.0,,64113984933474.0,35934850678710.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,265.521.804.717,265.501.804.717,210.0,,265521804717.0,265501804717.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,6,2.800.000.200,2.800.000.200,211.0,6.0,2800000200.0,2800000200.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,8,265.521.804.717,265.501.804.717,216.0,8.0,265521804717.0,265501804717.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,219,9,(2.800.000.200),(2.800.000.200),219.0,9.0,-2800000200.0,-2800000200.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,25.442.350.046.590,12.023.640.793.136,220.0,,25442350046590.0,12023640793136.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,12,25.430.668.689.299,12.011.649.434.062,221.0,12.0,25430668689299.0,12011649434062.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,65.861.938.456.956,49.642.460.748.505,222.0,,65861938456956.0,49642460748505.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(40.431.269.767.657),(37.630.811.314.443),223.0,,-40431269767657.0,-37630811314443.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,13,11.681.357.291,11.991.359.074,227.0,13.0,11681357291.0,11991359074.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,42.802.339.446,37.323.079.176,228.0,,42802339446.0,37323079176.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(31.120.982.155),(25.331.720.102),229.0,,-31120982155.0,-25331720102.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,35.200.034.360.712,20.892.927.634.807,240.0,,35200034360712.0,20892927634807.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,14,35.200.034.360.712,20.892.927.634.807,242.0,14.0,35200034360712.0,20892927634807.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,15,2.370.969.002.140,2.370.466.381.546,250.0,15.0,2370969002140.0,2370466381546.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,60.000.000.000,60.000.000.000,251.0,,60000000000.0,60000000000.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",252,,2.139.744.434.914,2.139.744.434.914,252.0,,2139744434914.0,2139744434914.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,,237.101.079.780,235.339.048.804,253.0,,237101079780.0,235339048804.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(65.876.512.554),(64.617.102.172),254.0,,-65876512554.0,-64617102172.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,835.109.719.315,382.314.064.504,260.0,,835109719315.0,382314064504.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,11,186.388.641.444,74.281.523.344,261.0,11.0,186388641444.0,74281523344.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,16,648.721.077.871,308.032.541.160,262.0,16.0,648721077871.0,308032541160.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,90.947.805.024.312,76.499.813.454.725,270.0,,90947805024312.0,76499813454725.0
