row_label_raw,row_label_full,col_0,01/01/2025VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,31/12/2025VND,numeric__01/01/2025VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__31/12/2025VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
- Thuế giá trị gia tăng,Phải nộp > - Thuế giá trị gia tăng,- Thuế giá trị gia tăng,19.647.398.861,203.296.225.453,204.421.180.683,18.522.443.631,19647398861.0,203296225453.0,204421180683.0,18522443631.0
- Thuế thu nhập doanh nghiệp,Phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,2.052.579.437.517,3.276.448.309.672,2.575.000.000.000,2.754.027.747.189,2052579437517.0,3276448309672.0,2575000000000.0,2754027747189.0
- Thuế thu nhập cá nhân,Phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,81.414.551.759,368.294.476.279,401.075.730.804,48.633.297.234,81414551759.0,368294476279.0,401075730804.0,48633297234.0
- Thuế tài nguyên,Phải nộp > - Thuế tài nguyên,- Thuế tài nguyên,55.676.640,1.033.824.820,1.038.929.460,50.572.000,55676640.0,1033824820.0,1038929460.0,50572000.0
"- Thuế nhà đất, tiền thuê đất","Phải nộp > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",4.862.616.192,151.453.651.247,148.619.192.492,7.697.074.947,4862616192.0,151453651247.0,148619192492.0,7697074947.0
- Thuế bảo vệ môi trường,Phải nộp > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,3.422.186.009,19.075.860.738,20.722.647.055,1.775.399.692,3422186009.0,19075860738.0,20722647055.0,1775399692.0
- Thuế nhà thầu,Phải nộp > - Thuế nhà thầu,- Thuế nhà thầu,3.486.303.248,30.976.725.236,30.528.259.952,3.934.768.532,3486303248.0,30976725236.0,30528259952.0,3934768532.0
- Lệ phí môn bài,Phải nộp > - Lệ phí môn bài,- Lệ phí môn bài,-,26.000.000,25.000.000,1.000.000,,26000000.0,25000000.0,1000000.0
- Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,Phải nộp > - Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,- Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,1.224.360.366.081,1.385.094.622.527,1.250.000.000.000,1.359.454.988.608,1224360366081.0,1385094622527.0,1250000000000.0,1359454988608.0
- Các khoản phải nộp khác,Phải nộp > - Các khoản phải nộp khác,- Các khoản phải nộp khác,-,8.952.258.621,8.948.262.688,3.995.933,,8952258621.0,8948262688.0,3995933.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,3.389.828.536.307,5.444.651.954.593,4.640.379.203.134,4.194.101.287.766,3389828536307.0,5444651954593.0,4640379203134.0,4194101287766.0
,,,01/01/2025VND,Số phải thu trong năm VND,Số thực thu/được khẩu trừ trong năm VND,31/12/2025VND,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
- Thuế giá trị gia tăng,Phải thu > - Thuế giá trị gia tăng,- Thuế giá trị gia tăng,446.958.286,774.759.563,102.284.246,1.119.433.603,446958286.0,774759563.0,102284246.0,1119433603.0
- Thuế thu nhập cá nhân,Phải thu > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,199.236.175,914.044.829,112,1.113.280.892,199236175.0,914044829.0,112.0,1113280892.0
"- Thuế nhà đất, tiền thuê đất","Phải thu > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",3.620.732.976,14.951.242.349,2.269.180.858,16.302.794.467,3620732976.0,14951242349.0,2269180858.0,16302794467.0
- Lệ phí môn bài,Phải thu > - Lệ phí môn bài,- Lệ phí môn bài,4.040.600,-,-,4.040.600,4040600.0,,,4040600.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,4.270.968.037,16.640.046.741,2.371.465.216,18.539.549.562,4270968037.0,16640046741.0,2371465216.0,18539549562.0
