row_label_raw,row_label_full,"Nhà xưởng, vật kiến trúc",05 - 25,numeric__05 - 25
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,03 - 10,
Phương tiện vận tải,Máy móc và thiết bị > Phương tiện vận tải,Phương tiện vận tải,06,6.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03 - 05,
