row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,25.976.727.458.685,22.703.437.620.392,25976727458685.0,22703437620392.0
Doanh thu dịch vụ hàng không,Doanh thu dịch vụ hàng không,Doanh thu dịch vụ hàng không,21.674.790.705.875,18.624.795.665.038,21674790705875.0,18624795665038.0
"- Doanh thu dịch vụ cắt, hạ cánh","- Doanh thu dịch vụ cắt, hạ cánh","- Doanh thu dịch vụ cắt, hạ cánh",3.263.381.973.476,2.810.800.197.907,3263381973476.0,2810800197907.0
- Doanh thu phục vụ mặt đất cơ bản/ trọn gói,- Doanh thu phục vụ mặt đất cơ bản/ trọn gói,- Doanh thu phục vụ mặt đất cơ bản/ trọn gói,712.873.843.883,529.619.717.326,712873843883.0,529619717326.0
- Doanh thu phục vụ hành khách,- Doanh thu phục vụ hành khách,- Doanh thu phục vụ hành khách,12.500.304.942.816,10.869.320.062.857,12500304942816.0,10869320062857.0
"- Doanh thu dịch vụ bảo đảm an ninh hành khách, hành lý","- Doanh thu dịch vụ bảo đảm an ninh hành khách, hành lý","- Doanh thu dịch vụ bảo đảm an ninh hành khách, hành lý",1.782.720.700.895,1.577.408.173.244,1782720700895.0,1577408173244.0
- Doanh thu dịch vụ hàng không khác,- Doanh thu dịch vụ hàng không khác,- Doanh thu dịch vụ hàng không khác,3.415.509.244.805,2.837.647.513.704,3415509244805.0,2837647513704.0
Doanh thu phi hàng không,Doanh thu phi hàng không,Doanh thu phi hàng không,3.247.917.907.161,2.830.311.657.024,3247917907161.0,2830311657024.0
- Doanh thu cho thuê mặt bằng,- Doanh thu cho thuê mặt bằng,- Doanh thu cho thuê mặt bằng,1.655.777.915.170,1.409.182.101.807,1655777915170.0,1409182101807.0
- Doanh thu cho thuê quảng cáo,- Doanh thu cho thuê quảng cáo,- Doanh thu cho thuê quảng cáo,276.954.039.177,310.812.055.227,276954039177.0,310812055227.0
- Doanh thu dịch vụ sử dụng hạ tầng nội cảng,- Doanh thu dịch vụ sử dụng hạ tầng nội cảng,- Doanh thu dịch vụ sử dụng hạ tầng nội cảng,507.815.908.289,430.497.782.609,507815908289.0,430497782609.0
"- Doanh thu dịch vụ cung cấp tiện ích (diện, nước, gas, vệ sinh, y tế ..... )","- Doanh thu dịch vụ cung cấp tiện ích (diện, nước, gas, vệ sinh, y tế ..... )","- Doanh thu dịch vụ cung cấp tiện ích (diện, nước, gas, vệ sinh, y tế ..... )",197.659.790.958,171.499.146.043,197659790958.0,171499146043.0
"- Doanh thu phục vụ khách VIP, F, C,...","- Doanh thu phục vụ khách VIP, F, C,...","- Doanh thu phục vụ khách VIP, F, C,...",189.717.003.741,125.611.065.444,189717003741.0,125611065444.0
- Doanh thu dịch vụ phi hàng không khác,- Doanh thu dịch vụ phi hàng không khác,- Doanh thu dịch vụ phi hàng không khác,419.993.249.826,382.709.505.894,419993249826.0,382709505894.0
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,1.054.018.845.649,1.248.330.298.330,1054018845649.0,1248330298330.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,75.434.964.476,104.074.076.959,75434964476.0,104074076959.0
- Chiết khấu thương mại,- Chiết khấu thương mại,- Chiết khấu thương mại,75.434.964.476,104.074.076.959,75434964476.0,104074076959.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,25.901.292.494.209,22.599.363.543.433,25901292494209.0,22599363543433.0
- Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,24.847.273.648.560,21.351.033.245.103,24847273648560.0,21351033245103.0
- Doanh thu bán hàng,- Doanh thu bán hàng,- Doanh thu bán hàng,1.054.018.845.649,1.248.330.298.330,1054018845649.0,1248330298330.0
"Trong đó, Doanh thu từ các bên liên quan: (Chi tiết tại Thuyết minh số 34)","Trong đó, Doanh thu từ các bên liên quan: (Chi tiết tại Thuyết minh số 34)","Trong đó, Doanh thu từ các bên liên quan: (Chi tiết tại Thuyết minh số 34)",812.217.138.579,806.455.252.276,812217138579.0,806455252276.0
