row_label_raw,row_label_full,NÔI DUNG,TRANG,numeric__TRANG
BÁO CÁO CỦA BAN ĐIỀU HÀNH,BÁO CÁO CỦA BAN ĐIỀU HÀNH,BÁO CÁO CỦA BAN ĐIỀU HÀNH,02 - 04,
BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,05 - 07,
BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP,BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP,BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP,08 - 09,
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH TỔNG HỢP,BẢNG CÂN ĐỐI KẾ TOÁN TỔNG HỢP > BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH TỔNG HỢP,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH TỔNG HỢP,10,10.0
BÁO CÁO LUÙ CHUYÊN TIỀN TỆ TỔNG HỢP,BÁO CÁO LUÙ CHUYÊN TIỀN TỆ TỔNG HỢP,BÁO CÁO LUÙ CHUYÊN TIỀN TỆ TỔNG HỢP,11 - 12,
THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP,13 - 59,
