row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,"Phương tiện vận tải, truyền dẫn VND",Thiết bị dụng cụ quản lý VND,TỔNG CỘNG VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,"numeric__Phương tiện vận tải, truyền dẫn VND",numeric__Thiết bị dụng cụ quản lý VND,numeric__TỔNG CỘNG VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại 01/01/2025,NGUYÊN GIÁ > Tại 01/01/2025,Tại 01/01/2025,30.033.672.818.707,16.231.217.622.891,3.246.814.450.081,130.755.856.826,49.642.460.748.505,30033672818707.0,16231217622891.0,3246814450081.0,130755856826.0,49642460748505.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,1.227.631.136.928,46.840.126.880,41.364.281.208,1.315.835.545.016,,1227631136928.0,46840126880.0,41364281208.0,1315835545016.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,9.299.588.021.765,5.764.654.044.624,-,669.122.582,15.064.911.188.971,9299588021765.0,5764654044624.0,,669122582.0,15064911188971.0
- Nhận tải trợ/biểu tặng,NGUYÊN GIÁ > - Nhận tải trợ/biểu tặng,- Nhận tải trợ/biểu tặng,-,1.016.321.509,-,-,1.016.321.509,,1016321509.0,,,1016321509.0
- Thanh lý/tháo dỡ,NGUYÊN GIÁ > - Thanh lý/tháo dỡ,- Thanh lý/tháo dỡ,(5.072.088.408),(140.301.127.296),(15.546.785.877),(1.244.557.246),(162.164.558.827),-5072088408.0,-140301127296.0,-15546785877.0,-1244557246.0,-162164558827.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,-,513.496.544,(634.284.762),-,(120.788.218),,513496544.0,-634284762.0,,-120788218.0
Tại 31/12/2025,NGUYÊN GIÁ > Tại 31/12/2025,Tại 31/12/2025,39.328.188.752.064,23.084.731.495.200,3.277.473.506.322,171.544.703.370,65.861.938.456.956,39328188752064.0,23084731495200.0,3277473506322.0,171544703370.0,65861938456956.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại 01/01/2025,Tại 01/01/2025,20.229.699.375.066,14.583.269.057.017,2.705.515.567.868,112.327.314.492,37.630.811.314.443,20229699375066.0,14583269057017.0,2705515567868.0,112327314492.0,37630811314443.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,1.623.774.888.495,1.137.855.721.617,186.929.564.117,14.168.089.902,2.962.728.264.131,1623774888495.0,1137855721617.0,186929564117.0,14168089902.0,2962728264131.0
- Thanh lý/tháo dỡ,GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý/tháo dỡ,- Thanh lý/tháo dỡ,(5.072.088.408),(140.301.127.296),(15.546.785.877),(1.244.557.246),(162.164.558.827),-5072088408.0,-140301127296.0,-15546785877.0,-1244557246.0,-162164558827.0
- Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > - Phân loại lại,- Phân loại lại,(5.704.690),(2.232.478),(97.314.922),-,(105.252.090),-5704690.0,-2232478.0,-97314922.0,,-105252090.0
Tại 31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại 31/12/2025,Tại 31/12/2025,21.848.396.470.463,15.580.821.418.860,2.876.801.031.186,125.250.847.148,40.431.269.767.657,21848396470463.0,15580821418860.0,2876801031186.0,125250847148.0,40431269767657.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại 01/01/2025,Tại 01/01/2025,9.803.973.443.641,1.647.948.565.874,541.298.882.213,18.428.542.334,12.011.649.434.062,9803973443641.0,1647948565874.0,541298882213.0,18428542334.0,12011649434062.0
Tại 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại 31/12/2025,Tại 31/12/2025,17.479.792.281.601,7.503.910.076.340,400.672.475.136,46.293.856.222,25.430.668.689.299,17479792281601.0,7503910076340.0,400672475136.0,46293856222.0,25430668689299.0
