row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,23,25.976.727.458.685,22.703.437.620.392,1.0,23.0,25976727458685.0,22703437620392.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,23,75.434.964.476,104.074.076.959,2.0,23.0,75434964476.0,104074076959.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,23,25.901.292.494.209,22.599.363.543.433,10.0,23.0,25901292494209.0,22599363543433.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,24,10.329.374.689.572,8.769.643.687.164,11.0,24.0,10329374689572.0,8769643687164.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,15.571.917.804.637,13.829.719.856.269,20.0,,15571917804637.0,13829719856269.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,25,1.235.992.969.011,1.922.439.095.443,21.0,25.0,1235992969011.0,1922439095443.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,26,458.320.137.228,105.468.781.933,22.0,26.0,458320137228.0,105468781933.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,60.462.429.448,60.523.614.159,23.0,,60462429448.0,60523614159.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,27,402.940.841.218,369.492.296.898,25.0,27.0,402940841218.0,369492296898.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,28,1.316.437.693.418,1.032.754.207.941,26.0,28.0,1316437693418.0,1032754207941.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,14.630.212.101.784,14.244.443.664.940,30.0,,14630212101784.0,14244443664940.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,29,589.813.910.382,43.132.721.702,31.0,29.0,589813910382.0,43132721702.0
Chi phí khác,Chi phí khác,Chi phí khác,32,30,16.536.331.320,11.975.845.548,32.0,30.0,16536331320.0,11975845548.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,573.277.579.062,31.156.876.154,40.0,,573277579062.0,31156876154.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,15.203.489.680.846,14.275.600.541.094,50.0,,15203489680846.0,14275600541094.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,32,3.276.448.309.672,2.656.487.542.093,51.0,32.0,3276448309672.0,2656487542093.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,16,(340.688.536.711),123.369.835.567,52.0,16.0,-340688536711.0,123369835567.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,12.267.729.907.885,11.495.743.163.434,60.0,,12267729907885.0,11495743163434.0
Lợi nhuận của Tổng Công ty,Lợi nhuận của Tổng Công ty,Lợi nhuận của Tổng Công ty,,,10.630.299.972.038,10.253.061.710.515,,,10630299972038.0,10253061710515.0
Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,,36,1.385.094.622.527,1.242.681.452.919,,36.0,1385094622527.0,1242681452919.0
Lợi nhuận từ hoạt động bảo đảm an ninh hàng không,Lợi nhuận từ hoạt động bảo đảm an ninh hàng không,Lợi nhuận từ hoạt động bảo đảm an ninh hàng không,,37,252.335.313.320,-,,37.0,252335313320.0,
