row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Cộng VND
01/01/2024,01/01/2024,01/01/2024,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,21.984.757.109.956,49.802.767.222.188,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,21984757109956.0,49802767222188.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,10.253.061.710.515,10.253.061.710.515,,,,,10253061710515.0,10253061710515.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(789.822.600.000),(789.822.600.000),,,,,-789822600000.0,-789822600000.0
Trích quỹ thưởng Ban Điều hành,Trích quỹ thưởng Ban Điều hành,Trích quỹ thưởng Ban Điều hành,-,-,-,-,(3.141.331.200),(3.141.331.200),,,,,-3141331200.0,-3141331200.0
31/12/2024,31/12/2024,31/12/2024,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,31.444.854.889.271,59.262.865.001.503,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,31444854889271.0,59262865001503.0
01/01/2025,01/01/2025,01/01/2025,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,31.444.854.889.271,59.262.865.001.503,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,31444854889271.0,59262865001503.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),14.056.742.870.000,-,-,-,(14.056.742.870.000),-,14056742870000.0,,,,-14056742870000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,10.630.299.972.038,10.630.299.972.038,,,,,10630299972038.0,10630299972038.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(3.939.170.000),-,-,(3.939.170.000),,,-3939170000.0,,,-3939170000.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,-,10.208.272.137.013,(10.208.272.137.013),-,,,,10208272137013.0,-10208272137013.0,
"Trích quỹ khen thưởng, phúc lợi (***)","Trích quỹ khen thưởng, phúc lợi (***)","Trích quỹ khen thưởng, phúc lợi (***)",-,-,-,-,(939.709.425.000),(939.709.425.000),,,,,-939709425000.0,-939709425000.0
Trích quỹ thưởng Ban Điều hành (***),Trích quỹ thưởng Ban Điều hành (***),Trích quỹ thưởng Ban Điều hành (***),-,-,-,-,(3.327.156.000),(3.327.156.000),,,,,-3327156000.0,-3327156000.0
31/12/2025,31/12/2025,31/12/2025,35.828.475.230.000,14.602.790.587,(6.857.850.000),16.242.865.778.658,16.867.103.273.296,68.946.189.222.541,35828475230000.0,14602790587.0,-6857850000.0,16242865778658.0,16867103273296.0,68946189222541.0
