row_label_raw,row_label_full,col_0,col_1,Năm nay VND,Năm trước VND,numeric__col_1,numeric__Năm nay VND,numeric__Năm trước VND
"Hội đồng quản trị, Ban Tổng Giám đốc, Kế toán trường","Hội đồng quản trị, Ban Tổng Giám đốc, Kế toán trường","Hội đồng quản trị, Ban Tổng Giám đốc, Kế toán trường","Hội đồng quản trị, Ban Tổng Giám đốc, Kế toán trường",16.670.095.694,16.343.162.569,,16670095694.0,16343162569.0
Ông Lê Văn Kiên,Ông Lê Văn Kiên,Ông Lê Văn Kiên,Quyền Chủ tịch HĐQT (từ ngày 17/03/2026),1.581.858.625,1.561.901.201,,1581858625.0,1561901201.0
Ông Lê Văn Kiên,Ông Lê Văn Kiên,Ông Lê Văn Kiên,Thành viên HĐQT (đến hết ngày 16/03/2026),,,,,
Ông Vũ Thế Phiệt,Ông Lê Văn Kiên > Ông Vũ Thế Phiệt,Ông Vũ Thế Phiệt,Chủ tịch HĐQT (đến hết ngày 16/03/2026),1.833.614.670,1.756.563.181,,1833614670.0,1756563181.0
Bà Nguyễn Thị Hồng Phượng,Ông Lê Văn Kiên > Bà Nguyễn Thị Hồng Phượng,Bà Nguyễn Thị Hồng Phượng,Thành viên HĐQT,1.579.164.477,1.578.141.792,,1579164477.0,1578141792.0
Ông Nguyễn Ngọc Quý,Ông Lê Văn Kiên > Ông Nguyễn Ngọc Quý,Ông Nguyễn Ngọc Quý,Thành viên HĐQT,1.560.320.135,1.310.544.122,,1560320135.0,1310544122.0
Bà Lê Thị Diệu Thúy,Ông Lê Văn Kiên > Bà Lê Thị Diệu Thúy,Bà Lê Thị Diệu Thúy,Thành viên HĐQT (đến hết ngày 30/06/2025),799.221.930,1.601.710.482,,799221930.0,1601710482.0
Ông Đào Việt Dũng,Ông Lê Văn Kiên > Ông Đào Việt Dũng,Ông Đào Việt Dũng,Thành viên HĐQT,1.632.634.462,1.622.774.516,,1632634462.0,1622774516.0
Ông Nguyễn Tiến Việt,Ông Lê Văn Kiên > Ông Nguyễn Tiến Việt,Ông Nguyễn Tiến Việt,Phó Tổng Giám đốc,1.550.744.385,1.529.575.878,,1550744385.0,1529575878.0
Ông Nguyễn Đức Hùng,Ông Lê Văn Kiên > Ông Nguyễn Đức Hùng,Ông Nguyễn Đức Hùng,Phó Tổng Giám đốc,1.586.154.309,1.554.716.969,,1586154309.0,1554716969.0
Ông Trần Anh Vũ,Ông Lê Văn Kiên > Ông Trần Anh Vũ,Ông Trần Anh Vũ,Phó Tổng Giám đốc,1.549.679.409,1.514.949.610,,1549679409.0,1514949610.0
Ông Nguyễn Cao Cường,Ông Lê Văn Kiên > Ông Nguyễn Cao Cường,Ông Nguyễn Cao Cường,Phó Tổng Giám đốc,1.463.166.451,1.055.813.575,,1463166451.0,1055813575.0
Ông Nguyễn Văn Nhung,Ông Lê Văn Kiên > Ông Nguyễn Văn Nhung,Ông Nguyễn Văn Nhung,Kế toán trường,1.533.536.841,1.256.471.243,,1533536841.0,1256471243.0
Ban Kiểm soát,Ông Lê Văn Kiên > Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,3.305.041.611,3.349.829.395,,3305041611.0,3349829395.0
Bà Huỳnh Thị Diệu,Ông Lê Văn Kiên > Bà Huỳnh Thị Diệu,Bà Huỳnh Thị Diệu,Trường ban,1.544.882.615,1.522.670.524,,1544882615.0,1522670524.0
Ông Nguyễn Hữu Phúc,Ông Lê Văn Kiên > Ông Nguyễn Hữu Phúc,Ông Nguyễn Hữu Phúc,Thành viên,975.248.312,934.396.616,,975248312.0,934396616.0
Ông Lương Quốc Bình,Ông Lê Văn Kiên > Ông Lương Quốc Bình,Ông Lương Quốc Bình,Thành viên,784.910.684,892.762.255,,784910684.0,892762255.0
TỔNG CỘNG,Ông Lê Văn Kiên > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,19.975.137.305,19.692.991.964,,19975137305.0,19692991964.0
