row_label_raw,row_label_full,col_0,31/12/2025VND,01/01/2025VND,numeric__31/12/2025VND,numeric__01/01/2025VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,55.219.482.107,18.609.149.602,55219482107.0,18609149602.0
- Công cụ dụng cụ,- Công cụ dụng cụ,- Công cụ dụng cụ,40.383.680.586,7.416.867.477,40383680586.0,7416867477.0
"- Bản quyền, phần mềm","- Bản quyền, phần mềm","- Bản quyền, phần mềm",5.197.743.514,2.754.510.427,5197743514.0,2754510427.0
"- Bảo hiểm hàng không, phi hàng không","- Bảo hiểm hàng không, phi hàng không","- Bảo hiểm hàng không, phi hàng không",3.826.017.910,3.547.008.839,3826017910.0,3547008839.0
- Nhiên liệu,- Nhiên liệu,- Nhiên liệu,2.641.873.447,2.258.535.558,2641873447.0,2258535558.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,3.170.166.650,2.632.227.301,3170166650.0,2632227301.0
Dài hạn,Dài hạn,Dài hạn,186.388.641.444,74.281.523.344,186388641444.0,74281523344.0
"- Dịch vụ tư vấn quản lý, khai thác Cảng Hàng không Quốc tế Long Thành","- Dịch vụ tư vấn quản lý, khai thác Cảng Hàng không Quốc tế Long Thành","- Dịch vụ tư vấn quản lý, khai thác Cảng Hàng không Quốc tế Long Thành",88.783.308.522,-,88783308522.0,
- Công cụ dụng cụ,- Công cụ dụng cụ,- Công cụ dụng cụ,53.590.285.312,30.609.145.857,53590285312.0,30609145857.0
- Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Quốc tế Đà Nẵng,- Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Quốc tế Đà Nẵng,- Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Quốc tế Đà Nẵng,14.251.985.746,14.251.985.746,14251985746.0,14251985746.0
- Đền bù giải phóng mặt bằng dự án mở rộng Cảng hàng không Quốc tế Đà Nẵng,- Đền bù giải phóng mặt bằng dự án mở rộng Cảng hàng không Quốc tế Đà Nẵng,- Đền bù giải phóng mặt bằng dự án mở rộng Cảng hàng không Quốc tế Đà Nẵng,12.258.823.680,12.258.823.680,12258823680.0,12258823680.0
"- Bản quyền, phần mềm","- Bản quyền, phần mềm","- Bản quyền, phần mềm",10.344.670.051,10.895.245.353,10344670051.0,10895245353.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,7.159.568.133,6.266.322.708,7159568133.0,6266322708.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,241.608.123.551,92.890.672.946,241608123551.0,92890672946.0
