row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trính bày lại),numeric__Năm nay,numeric__Năm trước(Trính bày lại)
Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),345.217.739.625,206.244.169.156,345217739625.0,206244169156.0
Trừ: Quỹ khen thưởng phúc lợi (VND)(i),Trừ: Quỹ khen thưởng phúc lợi (VND)(i),Trừ: Quỹ khen thưởng phúc lợi (VND)(i),(24.165.241.774),(13.158.377.992),-24165241774.0,-13158377992.0
Tiền lãi sau thuế của trải phiếu chuyển đổi hạch toán vào báo cáo kết quả hoạt động kinh doanh hợp nhất (VND),Tiền lãi sau thuế của trải phiếu chuyển đổi hạch toán vào báo cáo kết quả hoạt động kinh doanh hợp nhất (VND),Tiền lãi sau thuế của trải phiếu chuyển đổi hạch toán vào báo cáo kết quả hoạt động kinh doanh hợp nhất (VND),16.062.809.514,-,16062809514.0,
Lợi nhuận sau thuế thuộc về cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận sau thuế thuộc về cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận sau thuế thuộc về cổ đông sở hữu cổ phiếu phổ thông (VND),337.115.307.365,193.085.791.164,337115307365.0,193085791164.0
Số lượng bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành trong năm (VND),Số lượng bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành trong năm (VND),Số lượng bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành trong năm (VND),135.612.345,135.612.345,135612345.0,135612345.0
Tăng số lượng cổ phiếu bình quân do ảnh hưởng của cổ phiếu tiềm năng có thể được chuyển đổi từ trái phiếu chuyển đổi (VND) (ii),Tăng số lượng cổ phiếu bình quân do ảnh hưởng của cổ phiếu tiềm năng có thể được chuyển đổi từ trái phiếu chuyển đổi (VND) (ii),Tăng số lượng cổ phiếu bình quân do ảnh hưởng của cổ phiếu tiềm năng có thể được chuyển đổi từ trái phiếu chuyển đổi (VND) (ii),21.276.596,-,21276596.0,
Số lượng cổ phiếu bình quân lưu hành đã được điều chỉnh do ảnh hưởng pha loãng trong năm,Số lượng cổ phiếu bình quân lưu hành đã được điều chỉnh do ảnh hưởng pha loãng trong năm,Số lượng cổ phiếu bình quân lưu hành đã được điều chỉnh do ảnh hưởng pha loãng trong năm,156.888.941,135.612.345,156888941.0,135612345.0
Lãi trên cổ phiếu (VND),Lãi trên cổ phiếu (VND),Lãi trên cổ phiếu (VND),,,,
Lãi cơ bản trên cổ phiếu,Lãi trên cổ phiếu (VND) > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,2.367,1.424,2367.0,1424.0
Lãi suy giảm trên cổ phiếu,Lãi trên cổ phiếu (VND) > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,2.149,1.424,2149.0,1424.0
