row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Tại ngày 31 tháng 12 năm 2016 và 2015,Tại ngày 31 tháng 12 năm 2016 và 2015_1,numeric__Lĩnh vực kinh doanh,numeric__Tại ngày 31 tháng 12 năm 2016 và 2015,numeric__Tại ngày 31 tháng 12 năm 2016 và 2015_1
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu %,Giá mua VND,,,
Công ty TNHH Đầu tư Gamuda - Nam Long,Tên công ty > Công ty TNHH Đầu tư Gamuda - Nam Long,Công ty TNHH Đầu tư Gamuda - Nam Long,Bất động sản,30,22.400.000.000,,30.0,22400000000.0
Công ty TNHH Okamura Tokyo,Tên công ty > Công ty TNHH Okamura Tokyo,Công ty TNHH Okamura Tokyo,Bất động sản,"31,1",834.000.000,,31.1,834000000.0
