row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng,Giá trị đã ghi nhận,VNDGiá trị cam kết còn lại,numeric__Giá trị theo hợp đồng,numeric__Giá trị đã ghi nhận,numeric__VNDGiá trị cam kết còn lại
Dự án Fuji Residence,Dự án Fuji Residence,Dự án Fuji Residence,240.053.717.070,(68.533.153.992),171.520.563.078,240053717070.0,-68533153992.0,171520563078.0
Dự án Tiến Hùng,Dự án Tiến Hùng,Dự án Tiến Hùng,193.304.759.891,(138.404.089.963),54.900.669.928,193304759891.0,-138404089963.0,54900669928.0
Dự án Nguyên Sơn,Dự án Nguyên Sơn,Dự án Nguyên Sơn,95.028.478.660,(58.019.447.986),37.009.030.674,95028478660.0,-58019447986.0,37009030674.0
Dự án Phú Hữu,Dự án Phú Hữu,Dự án Phú Hữu,57.145.267.353,(25.465.403.283),31.679.864.070,57145267353.0,-25465403283.0,31679864070.0
Dự án Kykio Residence,Dự án Kykio Residence,Dự án Kykio Residence,45.396.580.000,-,45.396.580.000,45396580000.0,,45396580000.0
Dự án Thế kỳ 21,Dự án Thế kỳ 21,Dự án Thế kỳ 21,38.472.457.672,(14.448.649.467),24.023.808.205,38472457672.0,-14448649467.0,24023808205.0
Dự án Bình Dương,Dự án Bình Dương,Dự án Bình Dương,26.131.658.439,(24.277.838.658),1.853.819.781,26131658439.0,-24277838658.0,1853819781.0
Dự án Flora Anh Đào,Dự án Flora Anh Đào,Dự án Flora Anh Đào,23.415.308.491,(14.614.756.548),8.800.551.943,23415308491.0,-14614756548.0,8800551943.0
Dự án Nam Long Hồng Phát,Dự án Nam Long Hồng Phát,Dự án Nam Long Hồng Phát,17.924.861.892,(5.174.224.090),12.750.637.802,17924861892.0,-5174224090.0,12750637802.0
Các dự án khác,Các dự án khác,Các dự án khác,68.875.040.328,(44.533.970.334),24.341.069.994,68875040328.0,-44533970334.0,24341069994.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,805.748.129.796,(393.471.534.321),412.276.595.475,805748129796.0,-393471534321.0,412276595475.0
