row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộchưa thực hiệnloại trừ trênhợp nhất,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộchưa thực hiệnloại trừ trênhợp nhất,Lợi nhuận nội bộchưa thực hiệnloại trừ trênhợp nhất,50.473.975.502,55.912.148.612,(5.438.173.110),(17.371.145.965),50473975502.0,55912148612.0,-5438173110.0,-17371145965.0
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,15.852.626.714,13.755.515.281,2.097.111.433,1.996.893.450,15852626714.0,13755515281.0,2097111433.0,1996893450.0
Trợ cấp thời việcChênh lệch tạmthời chi phílãi vay,Tài sản thuế TNDN hoãn lại > Trợ cấp thời việcChênh lệch tạmthời chi phílãi vay,Trợ cấp thời việcChênh lệch tạmthời chi phílãi vay,437.989.175,372.434.000,65.555.175,(65.599.662),437989175.0,372434000.0,65555175.0,-65599662.0
Trợ cấp thời việcChênh lệch tạmthời chi phílãi vay,Tài sản thuế TNDN hoãn lại > Trợ cấp thời việcChênh lệch tạmthời chi phílãi vay,Trợ cấp thời việcChênh lệch tạmthời chi phílãi vay,647.954.204,855.047.802,(207.093.598),(1.021.859.951),647954204.0,855047802.0,-207093598.0,-1021859951.0
Lỗ đầu tư vàocông ty con,Tài sản thuế TNDN hoãn lại > Lỗ đầu tư vàocông ty con,Lỗ đầu tư vàocông ty con,1.201.539.118,29.956.675,1.171.582.443,-,1201539118.0,29956675.0,1171582443.0,
Lỗ đầu tư vàocông ty con,Tài sản thuế TNDN hoãn lại > Lỗ đầu tư vàocông ty con,Lỗ đầu tư vàocông ty con,68.614.084.713,70.925.102.370,,,68614084713.0,70925102370.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Lỗ thuế hoãn lại,Thuế TNDN hoãn lại phải trả > Lỗ thuế hoãn lại,Lỗ thuế hoãn lại,(2.696.372.478),(2.696.372.478),-,204.284.927,-2696372478.0,-2696372478.0,,204284927.0
Chênh lệchgiá vốn,Thuế TNDN hoãn lại phải trả > Chênh lệchgiá vốn,Chênh lệchgiá vốn,,(5.224.556.058),5.224.556.058,2.995.555.478,,-5224556058.0,5224556058.0,2995555478.0
Chênh lệch giá trịhợp lý của tàisản mua tronghợp nhất kinhdoanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trịhợp lý của tàisản mua tronghợp nhất kinhdoanh,Chênh lệch giá trịhợp lý của tàisản mua tronghợp nhất kinhdoanh,(52.635.495.867),(52.635.495.867),-,-,-52635495867.0,-52635495867.0,,
Chênh lệch giá trịhợp lý của tàisản mua tronghợp nhất kinhdoanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trịhợp lý của tàisản mua tronghợp nhất kinhdoanh,Chênh lệch giá trịhợp lý của tàisản mua tronghợp nhất kinhdoanh,(55.331.868.345),(60.556.424.403),,,-55331868345.0,-60556424403.0,,
Thu nhập (chi phí) thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập (chi phí) thuế TNDN hoãn lại,Thu nhập (chi phí) thuế TNDN hoãn lại,Thu nhập (chi phí) thuế TNDN hoãn lại,Thu nhập (chi phí) thuế TNDN hoãn lại,2.913.538.401,(13.261.871.723),,,2913538401.0,-13261871723.0
