row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,44.533.057.668,10.639.518.709,5.928.055.293,5.342.102.007,983.333.846,67.426.067.523,44533057668.0,10639518709.0,5928055293.0,5342102007.0,983333846.0,67426067523.0
Chuyển từ bất động sản đầu tư,Nguyên giá: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,8.109.909.370,-,-,-,-,8.109.909.370,8109909370.0,,,,,8109909370.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,321.760.383,1.813.699.283,2.595.149.112,152.700.000,156.000.000,5.039.308.778,321760383.0,1813699283.0,2595149112.0,152700000.0,156000000.0,5039308778.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.185.151.938),(749.951.920),(1.542.501.122),(98.663.673),-,(4.576.268.653),-2185151938.0,-749951920.0,-1542501122.0,-98663673.0,,-4576268653.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,50.779.575.483,11.703.266.072,6.980.703.283,5.396.138.334,1.139.333.846,75.999.017.018,50779575483.0,11703266072.0,6980703283.0,5396138334.0,1139333846.0,75999017018.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,349.211.061,171.890.000,1.346.238.364,2.040.011.375,983.333.846,4.890.684.646,349211061.0,171890000.0,1346238364.0,2040011375.0,983333846.0,4890684646.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(14.766.694.706),(6.158.583.305),(4.388.996.266),(2.608.540.322),(983.333.846),(28.906.148.445),-14766694706.0,-6158583305.0,-4388996266.0,-2608540322.0,-983333846.0,-28906148445.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.242.201.272),(1.095.132.191),(1.312.430.506),(579.874.929),(5.200.000),(5.234.838.898),-2242201272.0,-1095132191.0,-1312430506.0,-579874929.0,-5200000.0,-5234838898.0
Chuyển từ bất động sản đầu tư,Giá trị khấu hao lũy kế: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,(2.525.927.625),-,-,-,-,(2.525.927.625),-2525927625.0,,,,,-2525927625.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.345.863.323,426.765.271,891.540.320,98.663.673,-,2.762.832.587,1345863323.0,426765271.0,891540320.0,98663673.0,,2762832587.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(18.188.960.280),(6.826.950.225),(4.809.886.452),(3.089.751.578),(988.533.846),(33.904.082.381),-18188960280.0,-6826950225.0,-4809886452.0,-3089751578.0,-988533846.0,-33904082381.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,29.766.362.962,4.480.935.404,1.539.059.027,2.733.561.685,-,38.519.919.078,29766362962.0,4480935404.0,1539059027.0,2733561685.0,,38519919078.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,32.590.615.203,4.876.315.847,2.170.816.831,2.306.386.756,150.800.000,42.094.934.637,32590615203.0,4876315847.0,2170816831.0,2306386756.0,150800000.0,42094934637.0
Trong đó:Tài sản sử dụng để cảm có/thế chấp (Thuyết minh số 22),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cảm có/thế chấp (Thuyết minh số 22),Trong đó:Tài sản sử dụng để cảm có/thế chấp (Thuyết minh số 22),28.852.509.243,-,-,-,-,28.852.509.243,28852509243.0,,,,,28852509243.0
