row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm và số cuối năm,Công ty TNHH Okamura Tokyo > Giá trị đầu tư > 834.000.000,Gamuda - Nam Long > Giá trị đầu tư > 22.400.000.000,VND Tổng > Giá trị đầu tư > 23.234.000.000,numeric__Công ty TNHH Okamura Tokyo > Giá trị đầu tư > 834.000.000,numeric__Gamuda - Nam Long > Giá trị đầu tư > 22.400.000.000,numeric__VND Tổng > Giá trị đầu tư > 23.234.000.000
Phần lũy kế lợi nhuận (lỗ) sau khi mua,Phần lũy kế lợi nhuận (lỗ) sau khi mua,Phần lũy kế lợi nhuận (lỗ) sau khi mua,Phần lũy kế lợi nhuận (lỗ) sau khi mua,Phần lũy kế lợi nhuận (lỗ) sau khi mua,Phần lũy kế lợi nhuận (lỗ) sau khi mua,,,
Số đầu năm,Phần lũy kế lợi nhuận (lỗ) sau khi mua > Số đầu năm,Số đầu năm,(565.958.825),1.530.801.134,964.842.309,-565958825.0,1530801134.0,964842309.0
"Phần lãi từ công ty liên kết, liên doanh","Phần lũy kế lợi nhuận (lỗ) sau khi mua > Phần lãi từ công ty liên kết, liên doanh","Phần lãi từ công ty liên kết, liên doanh",100.674.816,498.234.731,598.909.547,100674816.0,498234731.0,598909547.0
Số cuối năm,Phần lũy kế lợi nhuận (lỗ) sau khi mua > Số cuối năm,Số cuối năm,(465.284.009),2.029.035.865,1.563.751.856,-465284009.0,2029035865.0,1563751856.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,,,
Số đầu năm,Giá trị ghi sổ > Số đầu năm,Số đầu năm,268.041.175,23.930.801.134,24.198.842.309,268041175.0,23930801134.0,24198842309.0
Số cuối năm,Giá trị ghi sổ > Số cuối năm,Số cuối năm,368.715.991,24.429.035.865,24.797.751.856,368715991.0,24429035865.0,24797751856.0
