row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc Lợi nhuận sau thuế vốn chủ sở hữu,chưa phân phối,Quyền chọn chuyển đổi trái phiếu,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Lợi nhuận sau thuế vốn chủ sở hữu,numeric__chưa phân phối,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.339.692.790.000,422.792.104.687,(60.464.200.000),10.929.726.999,1.827.848.341,218.912.408.731,-,1.933.690.678.758,1339692790000.0,422792104687.0,-60464200000.0,10929726999.0,1827848341.0,218912408731.0,,1933690678758.0
Phát hành cổ phiếu thu bằng tiền,Năm trước > Phát hành cổ phiếu thu bằng tiền,Phát hành cổ phiếu thu bằng tiền,76.028.780.000,69.545.042.374,-,-,-,-,-,145.573.822.374,76028780000.0,69545042374.0,,,,,,145573822374.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,206.244.169.156,-,206.244.169.156,,,,,,206244169156.0,,206244169156.0
Chia cổ tức,Năm trước > Chia cổ tức,Chia cổ tức,-,-,-,-,-,(60.071.816.382),-,(60.071.816.382),,,,,,-60071816382.0,,-60071816382.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,-,(10.040.407.661),-,(10.040.407.661),,,,,,-10040407661.0,,-10040407661.0
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(712.360.000),-,-,(712.360.000),,,,,-712360000.0,,,-712360000.0
Tăng khác,Năm trước > Tăng khác,Tăng khác,-,-,-,-,-,3.262.454.198,-,3.262.454.198,,,,,,3262454198.0,,3262454198.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.415.721.570.000,492.337.147.061,(60.464.200.000),10.929.726.999,1.115.488.341,358.306.808.042,-,2.217.946.540.443,1415721570000.0,492337147061.0,-60464200000.0,10929726999.0,1115488341.0,358306808042.0,,2217946540443.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.415.721.570.000,492.337.147.061,(60.464.200.000),10.929.726.999,1.115.488.341,358.306.808.042,-,2.217.946.540.443,1415721570000.0,492337147061.0,-60464200000.0,10929726999.0,1115488341.0,358306808042.0,,2217946540443.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),5.423.530.000,(176.000.000),-,-,-,-,-,5.247.530.000,5423530000.0,-176000000.0,,,,,,5247530000.0
Phát hành trái phiếu chuyển đổi (Thuyết minh số 23),Năm nay > Phát hành trái phiếu chuyển đổi (Thuyết minh số 23),Phát hành trái phiếu chuyển đổi (Thuyết minh số 23),-,-,-,-,-,-,40.503.427.830,40.503.427.830,,,,,,,40503427830.0,40503427830.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,345.217.739.625,-,345.217.739.625,,,,,,345217739625.0,,345217739625.0
Chia cổ tức,Năm nay > Chia cổ tức,Chia cổ tức,-,-,-,-,-,(97.655.580.121),-,(97.655.580.121),,,,,,-97655580121.0,,-97655580121.0
Phân phối lợi nhuận,Năm nay > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,3.512.281.041,(21.984.106.050),-,(18.471.825.009),,,,,3512281041.0,-21984106050.0,,-18471825009.0
Sử dụng quỹ,Năm nay > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(3.546.570.605),-,-,(3.546.570.605),,,,,-3546570605.0,,,-3546570605.0
Giảm khác (**),Năm nay > Giảm khác (**),Giảm khác (**),-,-,-,-,-,(5.481.958.731),-,(5.481.958.731),,,,,,-5481958731.0,,-5481958731.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.421.145.100.000,492.161.147.061,(60.464.200.000),10.929.726.999,1.081.198.777,578.402.902.765,40.503.427.830,2.483.759.303.432,1421145100000.0,492161147061.0,-60464200000.0,10929726999.0,1081198777.0,578402902765.0,40503427830.0,2483759303432.0
