row_label_raw,row_label_full,col_0,Lợi thế thương mại phát sinh từ khoản đầu tư vào,Lợi thế thương mại phát sinh từ khoản đầu tư vào_1,VND,numeric__Lợi thế thương mại phát sinh từ khoản đầu tư vào,numeric__Lợi thế thương mại phát sinh từ khoản đầu tư vào_1,numeric__VND
,,,Nguyên Sơn,Nam Long Hồng Phát,Tổng cộng,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,32.906.583.473,2.336.088.442,35.242.671.915,32906583473.0,2336088442.0,35242671915.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,(14.037.611.328),(2.203.729.736),(16.241.341.064),-14037611328.0,-2203729736.0,-16241341064.0
Khấu trừ trong kỳ,Giá trị hao mòn > Khấu trừ trong kỳ,Khấu trừ trong kỳ,(5.031.725.905),(132.358.706),(5.164.084.611),-5031725905.0,-132358706.0,-5164084611.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,(19.069.337.233),(2.336.088.442),(21.405.425.675),-19069337233.0,-2336088442.0,-21405425675.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,18.868.972.145,132.358.706,19.001.330.851,18868972145.0,132358706.0,19001330851.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,13.837.246.240,-,13.837.246.240,13837246240.0,,13837246240.0
