row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ sở hữu,numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
"Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long (""Nam Long PMD"")","Công ty con > Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long (""Nam Long PMD"")","Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long (""Nam Long PMD"")","Tp. Hồ Chí Minh (""TPHCM"")",Xây dựng và bất động sản,100,,,100.0
"Công ty Cổ phần Dịch vụ Nam Long (""Dịch vụ Nam Long"")","Công ty con > Công ty Cổ phần Dịch vụ Nam Long (""Dịch vụ Nam Long"")","Công ty Cổ phần Dịch vụ Nam Long (""Dịch vụ Nam Long"")",TPHCM,Dịch vụ và xây lắp,"71,29",,,71.29
"Công ty Cổ phần Nam Long - Hồng Phát (""Nam Long – Hồng Phát"")","Công ty con > Công ty Cổ phần Nam Long - Hồng Phát (""Nam Long – Hồng Phát"")","Công ty Cổ phần Nam Long - Hồng Phát (""Nam Long – Hồng Phát"")",Tp. Cần Thơ,Xây dựng và bất động sản,"99,98",,,99.98
"Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyên Sơn"")","Công ty con > Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyên Sơn"")",TPHCM,Bắt động sản,"87,33",,,87.33
"Công ty Cổ phần Phát triển Căn hộ Nam Long (""Nam Long ADC"")","Công ty con > Công ty Cổ phần Phát triển Căn hộ Nam Long (""Nam Long ADC"")","Công ty Cổ phần Phát triển Căn hộ Nam Long (""Nam Long ADC"")",TPHCM,Xây dựng và bất động sản,"97,14",,,97.14
"Công ty TNHH Một thành viên Sản giao dịch Bắt động sản Nam Long (""Sản Giao Dịch Nam Long"")","Công ty con > Công ty TNHH Một thành viên Sản giao dịch Bắt động sản Nam Long (""Sản Giao Dịch Nam Long"")","Công ty TNHH Một thành viên Sản giao dịch Bắt động sản Nam Long (""Sản Giao Dịch Nam Long"")",TPHCM,Sản giao dịch bất động sản,100,,,100.0
"Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang (""Nam Khang"")","Công ty con > Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang (""Nam Khang"")","Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang (""Nam Khang"")",TPHCM,Xây dựng và bất động sản,100,,,100.0
"Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")","Công ty con > Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")","Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")",TPHCM,Dịch vụ,"81,25",,,81.25
"Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang (""Xây Dụng Nam Khang"")","Công ty con > Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang (""Xây Dụng Nam Khang"")","Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang (""Xây Dụng Nam Khang"")",TPHCM,Kinh doanh thương mại vật liệu xây dựng,100,,,100.0
