row_label_raw,row_label_full,Ngân hàng,Số cuối năm VND,Kỳ hạn trả góc,Mục đích vay,Lãi suất (%/năm),"Hình thức đảm bảo (Thuyết minh số 12,13)",numeric__Số cuối năm VND,numeric__Kỳ hạn trả góc,numeric__Mục đích vay,numeric__Lãi suất (%/năm),"numeric__Hình thức đảm bảo (Thuyết minh số 12,13)"
Vay từ cá nhân,Vay từ cá nhân,Vay từ cá nhân,Vay từ cá nhân,Vay từ cá nhân,Vay từ cá nhân,Vay từ cá nhân,Vay từ cá nhân,,,,,
Vay ngắn hạn từ cá nhân,Vay từ cá nhân > Vay ngắn hạn từ cá nhân,Vay ngắn hạn từ cá nhân,69.894.565.335,Ngày 9 tháng 12 năm 2017,Hỗ trợ nhu cầu vốn lưu động,"9,5 – 10,5",Tín chấp,69894565335.0,,,,
Vay từ ngân hàng,Vay từ ngân hàng,Vay từ ngân hàng,Vay từ ngân hàng,Vay từ ngân hàng,Vay từ ngân hàng,Vay từ ngân hàng,Vay từ ngân hàng,,,,,
Ngân hàng Thương mại Cổ phần Phương Đông,Vay từ ngân hàng > Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,56.928.466.222,Tháng 3 năm 2017,Hỗ trợ nhu cầu vốn lưu động,"8,0","Quyền sử dụng đất tại bản đồ số 5, xã An Thạnh, Huyện Bến Lức, Tĩnh Long An",56928466222.0,,,8.0,
Ngân hàng Nông Nghiệp và Phát Triển Nông Thôn Việt Nam – Chi nhánh 8,Vay từ ngân hàng > Ngân hàng Nông Nghiệp và Phát Triển Nông Thôn Việt Nam – Chi nhánh 8,Ngân hàng Nông Nghiệp và Phát Triển Nông Thôn Việt Nam – Chi nhánh 8,12.197.629.858,Tháng 1 năm 2017,Hỗ trợ nhu cầu vốn lưu động,"8,0","Quyền sử dụng đất và các tài sản trên đất tại xã An Thạnh, Huyện Bến Lức, Tĩnh Long An",12197629858.0,,,8.0,
Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh,Vay từ ngân hàng > Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Nhà Thành phố Hồ Chí Minh,13.000.000.000,Tháng 11 năm 2017,"Tài trợ dự án Ehome, Long An và Nguyên Sơn","9,5","1 quyền sử dụng đất tại Phường Hưng Thạnh, Quận Cái Răng, Thành phố Cần Thơ, và 1 quyền sử dụng đất tại Xã An Thạnh, Huyện Bến Lức, tỉnh Long An.",13000000000.0,,,9.5,
TỔNG CỘNG,Vay từ ngân hàng > TỔNG CỘNG,TỔNG CỘNG,82.126.096.080,,,,,82126096080.0,,,,
