row_label_raw,row_label_full,col_0,col_1,Số cuối năm,VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__VND Số đầu năm
Dự án Long An,Dự án Long An,Dự án Long An,(i) (ii),1.410.132.529.019,1.372.672.355.842,,1410132529019.0,1372672355842.0
Dự án Casa,Dự án Casa,Dự án Casa,(ii),693.986.174.349,355.560.197.731,,693986174349.0,355560197731.0
Dự án Nguyên Sơn,Dự án Nguyên Sơn,Dự án Nguyên Sơn,(ii),581.124.624.485,334.586.969.131,,581124624485.0,334586969131.0
Dự án Phú Hữu,Dự án Phú Hữu,Dự án Phú Hữu,,515.253.842.875,355.148.920.824,,515253842875.0,355148920824.0
Khu dân cư 8C,Khu dân cư 8C,Khu dân cư 8C,,160.568.491.597,113.995.287.413,,160568491597.0,113995287413.0
Dự án Phước Long B - Mở rộng,Dự án Phước Long B - Mở rộng,Dự án Phước Long B - Mở rộng,,72.484.697.580,59.708.453.218,,72484697580.0,59708453218.0
Dự án Tân Thuận Đông,Dự án Tân Thuận Đông,Dự án Tân Thuận Đông,(ii),66.297.696.252,227.862.292.437,,66297696252.0,227862292437.0
Dự án Cần Thơ,Dự án Cần Thơ,Dự án Cần Thơ,(i),48.647.599.538,55.199.336.366,,48647599538.0,55199336366.0
Dự án Thảo Nguyên,Dự án Thảo Nguyên,Dự án Thảo Nguyên,,48.142.041.859,46.199.374.859,,48142041859.0,46199374859.0
Dự án Phước Long B - Cao tầng,Dự án Phước Long B - Cao tầng,Dự án Phước Long B - Cao tầng,(i),13.050.022.077,244.292.610.089,,13050022077.0,244292610089.0
"Dự án Ehome Tây Sài Gòn (""Dự án Ehome 3"")","Dự án Ehome Tây Sài Gòn (""Dự án Ehome 3"")","Dự án Ehome Tây Sài Gòn (""Dự án Ehome 3"")",(i) (ii),8.867.612.807,227.935.804.332,,8867612807.0,227935804332.0
"Dự án Bình Dương (""Dự án Ehome 4"")","Dự án Bình Dương (""Dự án Ehome 4"")","Dự án Bình Dương (""Dự án Ehome 4"")",(ii),6.677.696.256,224.801.319.063,,6677696256.0,224801319063.0
Dự án Nhơn Trạch,Dự án Nhơn Trạch,Dự án Nhơn Trạch,,211.865.659,10.838.215.659,,211865659.0,10838215659.0
Khác,Khác,Khác,,28.232.116.112,19.339.653.400,,28232116112.0,19339653400.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,3.653.677.010.465,3.648.140.790.364,,3653677010465.0,3648140790364.0
