row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long,Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long,Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long,"Tp. Hồ Chí Minh (""TPHCM"")",Xây dựng và bất động sản,,
Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,TPHCM,Dịch vụ và xây lắp,,
Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,TPHCM,Xây dựng và bất động sản,,
Công ty Cổ phần Bắt động sản Nguyên Sơn,Công ty Cổ phần Bắt động sản Nguyên Sơn,Công ty Cổ phần Bắt động sản Nguyên Sơn,TPHCM,Bắt động sản,,
Công ty Cổ phần Phát triển Căn hộ Nam Long,Công ty Cổ phần Phát triển Căn hộ Nam Long,Công ty Cổ phần Phát triển Căn hộ Nam Long,TPHCM,Xây dựng và bất động sản,,
Công ty TNHH Một Thành viên Sản giao dịch Bắt động sản Nam Long,Công ty TNHH Một Thành viên Sản giao dịch Bắt động sản Nam Long,Công ty TNHH Một Thành viên Sản giao dịch Bắt động sản Nam Long,TPHCM,Sản giao dịch bất động sản,,
Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,TPHCM,Xây dựng và bất động sản,,
Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,TPHCM,Dịch vụ,,
Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,TPHCM,Kinh doanh thương mại vất liệu xây dựng,,
Công ty Cổ phần Nam Long VCD,Công ty Cổ phần Nam Long VCD,Công ty Cổ phần Nam Long VCD,Tỉnh Long An,Xây dựng và bất động sản,,
Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,TPHCM,Xây dựng và bất động sản,,
Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Nguyên Phúc,TPHCM,Bắt động sản,,
Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Thảo Nguyên,Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Thảo Nguyên,Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Thảo Nguyên,TPHCM,Bắt động sản,,
Công ty TNHH NLG – NNR – HR – Fuji,Công ty TNHH NLG – NNR – HR – Fuji,Công ty TNHH NLG – NNR – HR – Fuji,TPHCM,Xây dựng và bất động sản,,
Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,TPHCM,Bắt động sản,,
Công ty TNHH NNH Kikyo Valora,Công ty TNHH NNH Kikyo Valora,Công ty TNHH NNH Kikyo Valora,TPHCM,Bắt động sản,,
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,
Công ty TNHH Phát triển Gamuda - Nam Long,Công ty TNHH Phát triển Gamuda - Nam Long,Công ty TNHH Phát triển Gamuda - Nam Long,TPHCM,Bắt động sản,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty TNHH Okamura Tokyo,Công ty TNHH Okamura Tokyo,Công ty TNHH Okamura Tokyo,TPHCM,Bắt động sản,,
