row_label_raw,row_label_full,col_0,Giá trịphải thu khó đốicuối nămVND,Số dự phòngđầu nămVND,Số trích lậptrong nămVND,Số hoàn nhậptrong nămVND,Số dự phòngcuối nămVND,Giá trịphải thu khó đốidầu nămVND,numeric__Giá trịphải thu khó đốicuối nămVND,numeric__Số dự phòngđầu nămVND,numeric__Số trích lậptrong nămVND,numeric__Số hoàn nhậptrong nămVND,numeric__Số dự phòngcuối nămVND,numeric__Giá trịphải thu khó đốidầu nămVND
Dự phòng phải thu bán các tài sản tài chính khó đối- Khách hàng Đặng Văn Sỹ,Dự phòng phải thu bán các tài sản tài chính khó đối- Khách hàng Đặng Văn Sỹ,Dự phòng phải thu bán các tài sản tài chính khó đối- Khách hàng Đặng Văn Sỹ,2.531.847.570,1.772.293.299,759.554.271,-,2.531.847.570,2.531.847.570,2531847570.0,1772293299.0,759554271.0,,2531847570.0,2531847570.0
Dự phòng phải thu bán các tài sản tài chính khó đối- Khách hàng Đặng Văn Sỹ,Dự phòng phải thu bán các tài sản tài chính khó đối- Khách hàng Đặng Văn Sỹ,Dự phòng phải thu bán các tài sản tài chính khó đối- Khách hàng Đặng Văn Sỹ,2.531.847.570,1.772.293.299,759.554.271,-,2.531.847.570,2.531.847.570,2531847570.0,1772293299.0,759554271.0,,2531847570.0,2531847570.0
"Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đối- Phải thu cổ tức CTCP Công nghệ mới Kim TựTháp Việt Nam","Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đối- Phải thu cổ tức CTCP Công nghệ mới Kim TựTháp Việt Nam","Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đối- Phải thu cổ tức CTCP Công nghệ mới Kim TựTháp Việt Nam",133.000.000,133.000.000,-,-,133.000.000,133.000.000,133000000.0,133000000.0,,,133000000.0,133000000.0
"Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đối- Phải thu cổ tức CTCP Công nghệ mới Kim TựTháp Việt Nam","Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đối- Phải thu cổ tức CTCP Công nghệ mới Kim TựTháp Việt Nam","Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đối- Phải thu cổ tức CTCP Công nghệ mới Kim TựTháp Việt Nam",133.000.000,133.000.000,-,-,133.000.000,133.000.000,133000000.0,133000000.0,,,133000000.0,133000000.0
Phải thu các dịch vụ công ty chứng khoán cung cấpkhó đói,Phải thu các dịch vụ công ty chứng khoán cung cấpkhó đói,Phải thu các dịch vụ công ty chứng khoán cung cấpkhó đói,12.971.609.076,1.161.000.000,11.708.127.607,-,12.869.127.607,1.206.000.000,12971609076.0,1161000000.0,11708127607.0,,12869127607.0,1206000000.0
- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,525.000.000,525.000.000,-,-,525.000.000,525.000.000,525000000.0,525000000.0,,,525000000.0,525000000.0
- CTCP Thái Hòa,- CTCP Thái Hòa,- CTCP Thái Hòa,80.000.000,80.000.000,-,-,80.000.000,80.000.000,80000000.0,80000000.0,,,80000000.0,80000000.0
- Công ty Liên doanh Dược phẩm Éloge FranceViệt Nam,- Công ty Liên doanh Dược phẩm Éloge FranceViệt Nam,- Công ty Liên doanh Dược phẩm Éloge FranceViệt Nam,80.000.000,80.000.000,-,-,80.000.000,80.000.000,80000000.0,80000000.0,,,80000000.0,80000000.0
- CTCP Hàng hải Sài Gòn,- CTCP Hàng hải Sài Gòn,- CTCP Hàng hải Sài Gòn,270.000.000,270.000.000,-,-,270.000.000,270.000.000,270000000.0,270000000.0,,,270000000.0,270000000.0
- CTCP VIGLACERA Đông Triều,- CTCP VIGLACERA Đông Triều,- CTCP VIGLACERA Đông Triều,101.000.000,101.000.000,-,-,101.000.000,101.000.000,101000000.0,101000000.0,,,101000000.0,101000000.0
- Tổng CTCP Xây dựng điện Việt Nam (Vneco),- Tổng CTCP Xây dựng điện Việt Nam (Vneco),- Tổng CTCP Xây dựng điện Việt Nam (Vneco),150.000.000,105.000.000,45.000.000,-,150.000.000,150.000.000,150000000.0,105000000.0,45000000.0,,150000000.0,150000000.0
- CTCP Thủy điện Quế Phong,- CTCP Thủy điện Quế Phong,- CTCP Thủy điện Quế Phong,142.994.095,-,42.898.229,-,42.898.229,-,142994095.0,,42898229.0,,42898229.0,
- Phải thu giao dịch ký quỹ quá hạn - khách hàngcá nhân,- Phải thu giao dịch ký quỹ quá hạn - khách hàngcá nhân,- Phải thu giao dịch ký quỹ quá hạn - khách hàngcá nhân,11.622.614.981,-,11.620.229.378,-,11.620.229.378,-,11622614981.0,,11620229378.0,,11620229378.0,
Phải thu khác khó đôi,Phải thu khác khó đôi,Phải thu khác khó đôi,388.517.477,364.818.661,23.698.816,-,388.517.477,388.517.477,388517477.0,364818661.0,23698816.0,,388517477.0,388517477.0
- Tiền bán tài sản,- Tiền bán tài sản,- Tiền bán tài sản,309.521.422,309.521.422,-,-,309.521.422,309.521.422,309521422.0,309521422.0,,,309521422.0,309521422.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,78.996.055,55.297.239,23.698.816,-,78.996.055,78.996.055,78996055.0,55297239.0,23698816.0,,78996055.0,78996055.0
Tổng cộng,Tổng cộng,Tổng cộng,16.024.974.123,3.431.111.960,12.491.380.694,-,15.922.492.654,4.259.365.047,16024974123.0,3431111960.0,12491380694.0,,15922492654.0,4259365047.0
