row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Số cuối năm VND,Số đầu năm (trình bày lại) VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm (trình bày lại) VND
100,100,100,A. TÀI SẢN NGẮN HẠN,,11.884.989.070.539,10.974.951.947.412,,,11884989070539.0,10974951947412.0
110,110,110,I. Tài sản tài chính,,11.786.485.397.072,10.733.304.674.029,,,11786485397072.0,10733304674029.0
111,111,111,1. Tiền và các khoản tương đương tiền,5,308.564.964.314,746.360.295.275,,5.0,308564964314.0,746360295275.0
111.1,111.1,111.1,1.1. Tiến,,201.151.935.146,511.360.295.275,,,201151935146.0,511360295275.0
111.2,111.2,111.2,1.2. Các khoản tương đương tiền,,107.413.029.168,235.000.000.000,,,107413029168.0,235000000000.0
112,112,112,2. Các tài sản tài chính ghi nhận thông qua lãi/lỗ,7.1,1.425.667.503.090,1.088.372.380.148,,71.0,1425667503090.0,1088372380148.0
113,113,113,3. Các khoản đầu tư nắm giữ đến ngày đáo hạn,7.3,5.243.743.725.184,4.431.399.641.147,,73.0,5243743725184.0,4431399641147.0
114,114,114,4. Các khoản cho vay,7.4,3.779.178.042.796,3.634.072.568.580,,74.0,3779178042796.0,3634072568580.0
115,115,115,5. Tài sản tài chính sẵn sàng để bán,7.2,959.826.110.723,803.351.191.599,,72.0,959826110723.0,803351191599.0
116,116,116,6. Dự phòng suy giảm giá trị các tài sản tài chính và tài sản thế chấp,8,(28.431.004.933),-,,8.0,-28431004933.0,
117,117,117,7. Các khoản phải thu,9,53.619.347.570,7.701.827.470,,9.0,53619347570.0,7701827470.0
117.1,117.1,117.1,7.1. Phải thu bán các tài sản tài chính,,53.486.347.570,2.531.847.570,,,53486347570.0,2531847570.0
117.2,117.2,117.2,"7.2. Phải thu và dự thu cổ tức, tiến lãi các tài sản tài chính",,133.000.000,5.169.979.900,,,133000000.0,5169979900.0
117.3,117.3,117.3,"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,133.000.000,133.000.000,,,133000000.0,133000000.0
117.4,117.4,117.4,"7.2.2. Dự thu cổ tức, tiến lãi chưa đến ngày nhận",,-,5.036.979.900,,,,5036979900.0
118,118,118,8. Trả trước cho người bán,9,21.135.273.595,11.301.258.947,,9.0,21135273595.0,11301258947.0
119,119,119,9. Phải thu các dịch vụ công ty chứng khoán cung cấp,9,36.101.403.942,9.353.388.977,,9.0,36101403942.0,9353388977.0
122,122,122,10. Các khoản phải thu khác,9,3.002.523.445,4.823.233.846,,9.0,3002523445.0,4823233846.0
129,129,129,11. Dự phòng suy giảm giá trị các khoản phải thu,9,(15.922.492.654),(3.431.111.960),,9.0,-15922492654.0,-3431111960.0
130,130,130,II. Tài sản ngắn hạn khác,10,98.503.673.467,241.647.273.383,,10.0,98503673467.0,241647273383.0
131,131,131,1. Tạm ứng,,9.231.952.863,3.278.848.232,,,9231952863.0,3278848232.0
133,133,133,2. Chi phí trả trước ngắn hạn,,7.665.228.021,8.548.603.317,,,7665228021.0,8548603317.0
134,134,134,"3. Cẩm cố, thể chấp, ký quỹ, ký cược ngắn hạn",,893.430.260,851.648.005,,,893430260.0,851648005.0
137,137,137,4. Tài sản ngắn hạn khác,,80.713.062.323,228.968.173.829,,,80713062323.0,228968173829.0
