row_label_raw,row_label_full,CHỈ TIÊU > TIỀN VÀ CÁC KHOẦNTƯƠNG ĐƯƠNG TIỀNDẦU NĂM,Diễn giải,Năm 2015(số liệu đã trìnhbảy trước đây) > 1.952.651.885.005,Phân loại lại > (945.003.315.998),Năm 2015(trình bày lại) > 1.007.648.569.007,numeric__Diễn giải,numeric__Năm 2015(số liệu đã trìnhbảy trước đây) > 1.952.651.885.005,numeric__Phân loại lại > (945.003.315.998),numeric__Năm 2015(trình bày lại) > 1.007.648.569.007
TiềnCác khoản tương đương tiền,TiềnCác khoản tương đương tiền,TiềnCác khoản tương đương tiền,[9][9],1.577.651.885.005375.000.000.000,(945.003.315.998)-,632.648.569.007375.000.000.000,,1.577651885005375e+24,,6.32648569007375e+23
TIỀN VÀ CÁC KHOẦNTƯƠNG ĐƯƠNG TIỀNCƯỚI NĂM,TIỀN VÀ CÁC KHOẦNTƯƠNG ĐƯƠNG TIỀNCƯỚI NĂM,TIỀN VÀ CÁC KHOẦNTƯƠNG ĐƯƠNG TIỀNCƯỚI NĂM,,1.990.410.102.161,(1.244.049.806.886),746.360.295.275,,1990410102161.0,-1244049806886.0,746360295275.0
TiềnCác khoản tương đương tiền,TiềnCác khoản tương đương tiền,TiềnCác khoản tương đương tiền,[9][9][9],1.755.410.102.161235.000.000.000,(1.249.967.294.070)-,505.442.808.091235.000.000.000,,1.755410102161235e+24,,5.05442808091235e+23
Ảnh hưởng của thay đổi tỷgiá quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷgiá quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷgiá quy đổi ngoại tệ,,-,5.917.487.184,5.917.487.184,,,5917487184.0,5917487184.0
