row_label_raw,row_label_full,col_0,Phần mềmVND,Quyềnsử dụng đấtVND,Tài sânvô hình khácVND,Tổng cộngVND,numeric__Phần mềmVND,numeric__Quyềnsử dụng đấtVND,numeric__Tài sânvô hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm2016,Nguyên giá > Ngày 1 tháng 1 năm2016,Ngày 1 tháng 1 năm2016,51.200.471.719,109.671.558.000,6.649.215.842,167.521.245.561,51200471719.0,109671558000.0,6649215842.0,167521245561.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.686.759.300,-,-,5.686.759.300,5686759300.0,,,5686759300.0
Mua mới,Nguyên giá > Mua mới,Mua mới,5.686.759.300,-,-,5.686.759.300,5686759300.0,,,5686759300.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12năm 2016,Giảm trong năm > Ngày 31 tháng 12năm 2016,Ngày 31 tháng 12năm 2016,56.887.231.019,109.671.558.000,6.649.215.842,173.208.004.861,56887231019.0,109671558000.0,6649215842.0,173208004861.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm2016,Hao mòn lũy kế > Ngày 1 tháng 1 năm2016,Ngày 1 tháng 1 năm2016,47.524.070.891,-,3.112.929.347,50.637.000.238,47524070891.0,,3112929347.0,50637000238.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,2.664.333.201,-,1.059.237.223,3.723.570.424,2664333201.0,,1059237223.0,3723570424.0
Hao mòn trongnăm,Hao mòn lũy kế > Hao mòn trongnăm,Hao mòn trongnăm,2.664.333.201,-,1.059.237.223,3.723.570.424,2664333201.0,,1059237223.0,3723570424.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12năm 2016,Giảm trong năm > Ngày 31 tháng 12năm 2016,Ngày 31 tháng 12năm 2016,50.188.404.092,-,4.172.166.570,54.360.570.662,50188404092.0,,4172166570.0,54360570662.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm2016,Giá trị còn lại > Ngày 1 tháng 1 năm2016,Ngày 1 tháng 1 năm2016,3.676.400.828,109.671.558.000,3.536.286.495,116.884.245.323,3676400828.0,109671558000.0,3536286495.0,116884245323.0
Ngày 31 tháng 12năm 2016,Giá trị còn lại > Ngày 31 tháng 12năm 2016,Ngày 31 tháng 12năm 2016,6.698.826.927,109.671.558.000,2.477.049.272,118.847.434.199,6698826927.0,109671558000.0,2477049272.0,118847434199.0
Tổng cộng,Giá trị còn lại > Tổng cộng,Tổng cộng,6.698.826.927,109.671.558.000,2.477.049.272,118.847.434.199,6698826927.0,109671558000.0,2477049272.0,118847434199.0
