row_label_raw,row_label_full,CHỈ TIÊU,Diễn giải,Năm 2015 (số liệu đã trình bày trước đây),Phân loại lại,Năm 2015 (trình bày lại),numeric__Diễn giải,numeric__Năm 2015 (số liệu đã trình bày trước đây),numeric__Phân loại lại,numeric__Năm 2015 (trình bày lại)
Doanh thu thuần (**),Doanh thu thuần (**),Doanh thu thuần (**),[7],1.332.878.376.539,(1.332.878.376.539),-,,1332878376539.0,-1332878376539.0,
Doanh thu hoạt động (*),Doanh thu hoạt động (*),Doanh thu hoạt động (*),[7],-,1.547.518.713.389,1.547.518.713.389,,,1547518713389.0,1547518713389.0
"Doanh thu hoạt động đầu tư chứng khoán, góp vốn (**)","Doanh thu hoạt động đầu tư chứng khoán, góp vốn (**)","Doanh thu hoạt động đầu tư chứng khoán, góp vốn (**)",[7],389.744.410.192,(389.744.410.192),-,,389744410192.0,-389744410192.0,
Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL) (*),Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL) (*),Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL) (*),[7],-,603.499.177.813,603.499.177.813,,,603499177813.0,603499177813.0
Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM) (*),Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM) (*),Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM) (*),[7],-,194.038.113.177,194.038.113.177,,,194038113177.0,194038113177.0
Lãi từ các khoản cho vay và phải thu (*),Lãi từ các khoản cho vay và phải thu (*),Lãi từ các khoản cho vay và phải thu (*),[7],-,297.393.256.685,297.393.256.685,,,297393256685.0,297393256685.0
Lãi từ tài sản tài chính sẵn sàng để bán (AFS) (*),Lãi từ tài sản tài chính sẵn sàng để bán (AFS) (*),Lãi từ tài sản tài chính sẵn sàng để bán (AFS) (*),[7],-,40.681.868.509,40.681.868.509,,,40681868509.0,40681868509.0
Doanh thu nghiệp vụ môi giới chứng khoán,Doanh thu nghiệp vụ môi giới chứng khoán,Doanh thu nghiệp vụ môi giới chứng khoán,[7],287.613.812.686,(25.109.648),287.588.703.038,,287613812686.0,-25109648.0,287588703038.0
Doanh thu hoạt động tư vấn (**),Doanh thu hoạt động tư vấn (**),Doanh thu hoạt động tư vấn (**),[7],44.704.036.602,(44.704.036.602),-,,44704036602.0,-44704036602.0,
Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán (*),Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán (*),Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán (*),[7],-,13.652.830.477,13.652.830.477,,,13652830477.0,13652830477.0
Doanh thu lưu ký chứng khoán,Doanh thu lưu ký chứng khoán,Doanh thu lưu ký chứng khoán,[7],7.363.774.946,(407.173),7.363.367.773,,7363774946.0,-407173.0,7363367773.0
Doanh thu hoạt động tư vấn tài chính (*),Doanh thu hoạt động tư vấn tài chính (*),Doanh thu hoạt động tư vấn tài chính (*),[7],-,31.051.206.125,31.051.206.125,,,31051206125.0,31051206125.0
Doanh thu quản lý danh mục đầu tư và quản lý quỹ (**),Doanh thu quản lý danh mục đầu tư và quản lý quỹ (**),Doanh thu quản lý danh mục đầu tư và quản lý quỹ (**),[7],13.730.952.472,(13.730.952.472),-,,13730952472.0,-13730952472.0,
Doanh thu cho thuê sử dụng tài sản (**),Doanh thu cho thuê sử dụng tài sản (**),Doanh thu cho thuê sử dụng tài sản (**),[7],7.234.566.832,(7.234.566.832),-,,7234566832.0,-7234566832.0,
Doanh thu khác (**),Doanh thu khác (**),Doanh thu khác (**),[7],571.120.435.328,(571.120.435.328),-,,571120435328.0,-571120435328.0,
Thu nhập từ hoạt động khác (*),Thu nhập từ hoạt động khác (*),Thu nhập từ hoạt động khác (*),[7],-,59.860.140.340,59.860.140.340,,,59860140340.0,59860140340.0
Chi phí hoạt động kinh doanh (**),Chi phí hoạt động kinh doanh (**),Chi phí hoạt động kinh doanh (**),[8],315.673.875.950,(315.673.875.950),-,,315673875950.0,-315673875950.0,
Chi phí hoạt động (*),Chi phí hoạt động (*),Chi phí hoạt động (*),[8],-,495.009.251.967,495.009.251.967,,,495009251967.0,495009251967.0
Chi phí trực tiếp hoạt động kinh doanh chứng khoán (**),Chi phí trực tiếp hoạt động kinh doanh chứng khoán (**),Chi phí trực tiếp hoạt động kinh doanh chứng khoán (**),[8],612.871.847.693,(612.871.847.693),-,,612871847693.0,-612871847693.0,
Hoàn nhập dự phòng chứng khoán (**),Hoàn nhập dự phòng chứng khoán (**),Hoàn nhập dự phòng chứng khoán (**),[8],(297.197.971.743),297.197.971.743,-,,-297197971743.0,297197971743.0,
Lỗ từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL) (*),Lỗ từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL) (*),Lỗ từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL) (*),[8],-,172.948.769.284,172.948.769.284,,,172948769284.0,172948769284.0
"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính (*)","Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính (*)","Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính (*)",[8],-,506.369.514,506.369.514,,,506369514.0,506369514.0
Chi phí hoạt động tư doanh (*),Chi phí hoạt động tư doanh (*),Chi phí hoạt động tư doanh (*),[8],-,273.979.827,273.979.827,,,273979827.0,273979827.0
Chi phí nghiệp vụ môi giới chứng khoán (*),Chi phí nghiệp vụ môi giới chứng khoán (*),Chi phí nghiệp vụ môi giới chứng khoán (*),[8],-,223.408.493.002,223.408.493.002,,,223408493002.0,223408493002.0
"Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán (*)","Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán (*)","Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán (*)",[8],-,30.000.000,30.000.000,,,30000000.0,30000000.0
Chi phí nghiệp vụ tư vấn đầu tư chứng khoán (*),Chi phí nghiệp vụ tư vấn đầu tư chứng khoán (*),Chi phí nghiệp vụ tư vấn đầu tư chứng khoán (*),[8],-,11.522.471.372,11.522.471.372,,,11522471372.0,11522471372.0
