row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,62.998.576.869,63.406.571.076,62998576869.0,63406571076.0
Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,6.468.105.688,5.802.236.553,6468105688.0,5802236553.0
Chi phí lãi trái phiếu,Chi phí lãi trái phiếu,Chi phí lãi trái phiếu,28.295.676.827,45.617.847.224,28295676827.0,45617847224.0
Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,5.667.044.384,3.265.485.311,5667044384.0,3265485311.0
"Chi phí lãi hợp đồng bán và cam kết mua lại chứng khoán, hợp đồng đặt cọc môi giới chứng khoán","Chi phí lãi hợp đồng bán và cam kết mua lại chứng khoán, hợp đồng đặt cọc môi giới chứng khoán","Chi phí lãi hợp đồng bán và cam kết mua lại chứng khoán, hợp đồng đặt cọc môi giới chứng khoán",981.350.992,3.068.427.838,981350992.0,3068427838.0
Phí dịch vụ,Phí dịch vụ,Phí dịch vụ,630.000.000,690.000.000,630000000.0,690000000.0
Phí hoa hồng phải trả cho đối tác,Phí hoa hồng phải trả cho đối tác,Phí hoa hồng phải trả cho đối tác,2.212.907.642,4.619.539.121,2212907642.0,4619539121.0
Các khoản khác,Các khoản khác,Các khoản khác,18.743.491.336,343.035.029,18743491336.0,343035029.0
Dài hạn,Dài hạn,Dài hạn,-,-,,
Tổng cộng,Dài hạn > Tổng cộng,Tổng cộng,62.998.576.869,63.406.571.076,62998576869.0,63406571076.0
