row_label_raw,row_label_full,col_0,Đơn vị: số lượng chứng khoán > Số dư cuối năm,Đơn vị: số lượng chứng khoán > Số dư đầu năm,numeric__Đơn vị: số lượng chứng khoán > Số dư cuối năm,numeric__Đơn vị: số lượng chứng khoán > Số dư đầu năm
Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,490.063.684,480.063.684,490063684.0,480063684.0
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,490.063.684,480.063.684,490063684.0,480063684.0
Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,490.063.684,480.063.684,490063684.0,480063684.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,490.063.684,480.063.684,490063684.0,480063684.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,- Cổ phiếu ưu đãi > Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(238.434),(6.319),-238434.0,-6319.0
Cổ phiếu quỹ do Công ty nằm giữ,- Cổ phiếu ưu đãi > Cổ phiếu quỹ do Công ty nằm giữ,Cổ phiếu quỹ do Công ty nằm giữ,(238.434),(6.319),-238434.0,-6319.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,(238.434),(6.319),-238434.0,-6319.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Cổ phiếu quỹ do công ty con của Công ty nằm giữ,Cổ phiếu quỹ do công ty con của Công ty nằm giữ,Cổ phiếu quỹ do công ty con của Công ty nằm giữ,-,-,,
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,-,-,,
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,489.825.250,480.057.365,489825250.0,480057365.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,489.825.250,480.057.365,489825250.0,480057365.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
