row_label_raw,row_label_full,Mã số > 90 > 101,CHỈ TIÊU > GIẢM TIỀN THUÀN TRONG NĂM > TIỀN VÀ CÁC KHOẠN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,Thuyết minh > 5,Năm nay VND > (437.795.330.962) > 746.360.295.275,Năm trước (trình bày lại) VND > (261.288.273.732) > 1.007.648.569.007,numeric__CHỈ TIÊU > GIẢM TIỀN THUÀN TRONG NĂM > TIỀN VÀ CÁC KHOẠN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,numeric__Thuyết minh > 5,numeric__Năm nay VND > (437.795.330.962) > 746.360.295.275,numeric__Năm trước (trình bày lại) VND > (261.288.273.732) > 1.007.648.569.007
101.1,101.1,101.1,Tiền,,505.442.808.091,632.648.569.007,,,505442808091.0,632648569007.0
101.2,101.2,101.2,Các khoản tương đương tiền,,235.000.000.000,375.000.000.000,,,235000000000.0,375000000000.0
102,102,102,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,5.917.487.184,-,,,5917487184.0,
103,103,103,TIỀN VÀ CÁC KHOẠN TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM,5,308.564.964.314,746.360.295.275,,5.0,308564964314.0,746360295275.0
103.1,103.1,103.1,Tiền,,200.205.959.020,505.442.808.091,,,200205959020.0,505442808091.0
103.2,103.2,103.2,Các khoản tương đương tiền,,107.413.029.168,235.000.000.000,,,107413029168.0,235000000000.0
104,104,104,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,945.976.126,5.917.487.184,,,945976126.0,5917487184.0
