row_label_raw,row_label_full,31 tháng 12 năm 2016,Quá hạnVND > 31 tháng 12 năm 2016,Không kỳ hạnVND > 31 tháng 12 năm 2016,Đên 01 namVND > 31 tháng 12 năm 2016,Tư 01 – 05 namVND > 31 tháng 12 năm 2016,Tren 05 namVND > 31 tháng 12 năm 2016,Tổng cộngVND > 31 tháng 12 năm 2016,numeric__Quá hạnVND > 31 tháng 12 năm 2016,numeric__Không kỳ hạnVND > 31 tháng 12 năm 2016,numeric__Đên 01 namVND > 31 tháng 12 năm 2016,numeric__Tư 01 – 05 namVND > 31 tháng 12 năm 2016,numeric__Tren 05 namVND > 31 tháng 12 năm 2016,numeric__Tổng cộngVND > 31 tháng 12 năm 2016
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Đầu tư kỳ hạn cố định,TÀI SẢN TÀI CHÍNH > Đầu tư kỳ hạn cố định,Đầu tư kỳ hạn cố định,8.413.968.803,214.303.031.818,9.102.542.267.459,41.007.379.429,-,9.366.266.647.509,8413968803.0,214303031818.0,9102542267459.0,41007379429.0,,9366266647509.0
Giữ đến ngày đáo hạn – Chứng khoán Nợvà tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > Giữ đến ngày đáo hạn – Chứng khoán Nợvà tiền gửi có kỳ hạn,Giữ đến ngày đáo hạn – Chứng khoán Nợvà tiền gửi có kỳ hạn,-,-,5.243.743.725.184,41.007.379.429,-,5.284.751.104.613,,,5243743725184.0,41007379429.0,,5284751104613.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ –Chứng khoán Nợ,TÀI SẢN TÀI CHÍNH > Tài sản tài chính ghi nhận thông qua lãi/lỗ –Chứng khoán Nợ,Tài sản tài chính ghi nhận thông qua lãi/lỗ –Chứng khoán Nợ,-,-,302.337.500.100,-,-,302.337.500.100,,,302337500100.0,,,302337500100.0
Các khoản cho vay,TÀI SẢN TÀI CHÍNH > Các khoản cho vay,Các khoản cho vay,8.413.968.803,214.303.031.818,3.556.461.042.175,-,-,3.779.178.042.796,8413968803.0,214303031818.0,3556461042175.0,,,3779178042796.0
Tài sản tài chính khác,TÀI SẢN TÀI CHÍNH > Tài sản tài chính khác,Tài sản tài chính khác,16.024.974.123,96.697.460.810,-,-,-,112.722.434.933,16024974123.0,96697460810.0,,,,112722434933.0
Phải thu hoạt động giao dịch chứng khoán,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động giao dịch chứng khoán,Phải thu hoạt động giao dịch chứng khoán,-,2.100.000,-,-,-,2.100.000,,2100000.0,,,,2100000.0
"Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > Các khoản cảm cố, ký quỹ, ký cược","Các khoản cảm cố, ký quỹ, ký cược",-,19.999.159.976,-,-,-,19.999.159.976,,19999159976.0,,,,19999159976.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,16.024.974.123,76.696.200.834,-,-,-,92.721.174.957,16024974123.0,76696200834.0,,,,92721174957.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,308.564.964.315,-,-,-,308.564.964.315,,308564964315.0,,,,308564964315.0
