row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị ghi sốVND,Số cuối năm > Giá trị hợp lý (2)VND,Số đầu năm (trình bày lại) > Giá gốcVND,Số đầu năm (trình bày lại) > Giá trị ghi sốVND,Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị ghi sốVND,numeric__Số cuối năm > Giá trị hợp lý (2)VND,numeric__Số đầu năm (trình bày lại) > Giá gốcVND,numeric__Số đầu năm (trình bày lại) > Giá trị ghi sốVND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND
Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),1.192.233.668.924,1.091.451.521.096,1.182.661.089.550,1.145.742.140.034,1.014.068.302.383,1.029.158.400.620,1192233668924.0,1091451521096.0,1182661089550.0,1145742140034.0,1014068302383.0,1029158400620.0
HPG,HPG,HPG,62.389.734.766,62.389.734.766,62.883.142.250,274.847.301.025,233.614.098.445,233.618.162.400,62389734766.0,62389734766.0,62883142250.0,274847301025.0,233614098445.0,233618162400.0
SSC,SSC,SSC,165.218.161.649,116.265.149.512,116.537.119.900,163.767.030.476,163.767.030.476,169.888.443.000,165218161649.0,116265149512.0,116537119900.0,163767030476.0,163767030476.0,169888443000.0
FPT,FPT,FPT,183.082.847.113,183.082.847.113,183.665.416.000,20.227.325,20.227.325,23.087.400,183082847113.0,183082847113.0,183665416000.0,20227325.0,20227325.0,23087400.0
PVS,PVS,PVS,77.970.999.907,63.439.530.184,63.439.447.600,91.905.033.734,40.323.601.384,40.320.697.100,77970999907.0,63439530184.0,63439447600.0,91905033734.0,40323601384.0,40320697100.0
DBC,DBC,DBC,251.288.227.278,251.288.227.278,291.843.753.000,184.957.167.636,182.892.443.393,183.833.265.400,251288227278.0,251288227278.0,291843753000.0,184957167636.0,182892443393.0,183833265400.0
ELC,ELC,ELC,206.857.447.945,206.857.447.945,235.373.954.000,101.933.671.357,89.333.923.660,90.776.354.520,206857447945.0,206857447945.0,235373954000.0,101933671357.0,89333923660.0,90776354520.0
PET,PET,PET,45.060.789.684,31.306.898.943,31.305.912.700,45.059.171.784,40.422.281.043,40.421.865.400,45060789684.0,31306898943.0,31305912700.0,45059171784.0,40422281043.0,40421865400.0
LAS,LAS,LAS,41.063.264.511,40.888.080.914,43.837.664.000,90.741.504.757,90.741.504.757,94.259.034.000,41063264511.0,40888080914.0,43837664000.0,90741504757.0,90741504757.0,94259034000.0
VAF,VAF,VAF,67.766.775.917,45.253.072.700,45.253.072.700,67.766.743.877,49.532.076.000,49.532.076.000,67766775917.0,45253072700.0,45253072700.0,67766743877.0,49532076000.0,49532076000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,91.535.420.154,90.680.531.741,108.521.607.400,124.744.288.063,123.421.115.900,126.485.415.400,91535420154.0,90680531741.0,108521607400.0,124744288063.0,123421115900.0,126485415400.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,82.191.081.939,31.878.481.894,64.047.685.411,128.879.508.164,74.304.077.765,95.165.322.548,82191081939.0,31878481894.0,64047685411.0,128879508164.0,74304077765.0,95165322548.0
CTCP Kính Viglacera Đáp Cầu,CTCP Kính Viglacera Đáp Cầu,CTCP Kính Viglacera Đáp Cầu,15.200.000.000,-,-,15.200.000.000,624.800.000,624.800.000,15200000000.0,,,15200000000.0,624800000.0,624800000.0
CTCP Đường Mặt Trời,CTCP Đường Mặt Trời,CTCP Đường Mặt Trời,15.000.000.000,15.000.000.000,44.021.457.129,15.000.000.000,15.000.000.000,34.761.408.826,15000000000.0,15000000000.0,44021457129.0,15000000000.0,15000000000.0,34761408826.0
CTCP Xây dựng Công nghiệp Descon,CTCP Xây dựng Công nghiệp Descon,CTCP Xây dựng Công nghiệp Descon,17.456.571.492,9.337.620.500,9.337.620.500,17.456.571.492,8.970.233.914,8.970.233.914,17456571492.0,9337620500.0,9337620500.0,17456571492.0,8970233914.0,8970233914.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,34.534.510.447,7.540.861.394,10.688.607.782,81.222.936.672,49.709.043.851,50.808.879.808,34534510447.0,7540861394.0,10688607782.0,81222936672.0,49709043851.0,50808879808.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,302.337.500.100,302.337.500.100,302.337.500.100,-,-,-,302337500100.0,302337500100.0,302337500100.0,,,
Trái phiếu BHS BOND 2016,Trái phiếu BHS BOND 2016,Trái phiếu BHS BOND 2016,302.337.500.100,302.337.500.100,302.337.500.100,-,-,-,302337500100.0,302337500100.0,302337500100.0,,,
Tổng cộng,Tổng cộng,Tổng cộng,1.576.762.250.963,1.425.667.503.090,1.549.046.275.061,1.274.621.648.198,1.088.372.380.148,1.124.323.723.168,1576762250963.0,1425667503090.0,1549046275061.0,1274621648198.0,1088372380148.0,1124323723168.0
