row_label_raw,row_label_full,1. Lợi nhuận đã thực hiện chưa phân phối năm trước (tại 1/1/2016 và 1/1/2015) > 2. Lỗ chưa thực hiện cuối năm (tại 31/12/2016 và 31/12/2015) > 3. Lợi nhuận đã thực hiện trong năm > 4. Cơ sở lợi nhuận phân phối cho cổ đông hoặc các thành viên góp vốn tính đến cuối năm((4)=(1)+(2)+(3)),Năm nay VND > 1.528.039.483.892 > (151.094.747.873) > 841.881.337.875 > 2.218.826.073.894,Năm trước (trình bày lại) VND > 1.923.556.624.130 > (186.249.268.054) > 609.706.984.288 > 2.347.014.340.364,numeric__Năm nay VND > 1.528.039.483.892 > (151.094.747.873) > 841.881.337.875 > 2.218.826.073.894,numeric__Năm trước (trình bày lại) VND > 1.923.556.624.130 > (186.249.268.054) > 609.706.984.288 > 2.347.014.340.364
5. Số trích từ lợi nhuận,5. Số trích từ lợi nhuận,5. Số trích từ lợi nhuận,(162.913.648.537),(527.920.784.816),-162913648537.0,-527920784816.0
- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,(43.483.653.676),(39.323.710.910),-43483653676.0,-39323710910.0
- Quỹ dự phòng tài chính và rủi ro nghiệp vụ,- Quỹ dự phòng tài chính và rủi ro nghiệp vụ,- Quỹ dự phòng tài chính và rủi ro nghiệp vụ,(43.483.653.676),(39.323.710.910),-43483653676.0,-39323710910.0
- Phát hành cổ phiếu đề tăng vốn,- Phát hành cổ phiếu đề tăng vốn,- Phát hành cổ phiếu đề tăng vốn,-,(370.013.759.782),,-370013759782.0
"- Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng","- Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng","- Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng",(59.633.400.253),(52.096.910.169),-59633400253.0,-52096910169.0
- Các khoản điều chỉnh khi hợp nhất,- Các khoản điều chỉnh khi hợp nhất,- Các khoản điều chỉnh khi hợp nhất,(16.312.940.932),(27.099.286.666),-16312940932.0,-27099286666.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,-,(63.406.379),,-63406379.0
6. Số lãi phân phối cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết ĐHĐCD,6. Số lãi phân phối cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết ĐHĐCD,6. Số lãi phân phối cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết ĐHĐCD,(479.836.918.000),(427.308.850.000),-479836918000.0,-427308850000.0
7. Phân loại lại lợi nhuận thực hiện/chưa thực hiện,7. Phân loại lại lợi nhuận thực hiện/chưa thực hiện,7. Phân loại lại lợi nhuận thực hiện/chưa thực hiện,-,(49.994.489.710),,-49994489710.0
Lợi nhuận tối đa còn có thể phân phối,Lợi nhuận tối đa còn có thể phân phối,Lợi nhuận tối đa còn có thể phân phối,1.576.075.507.357,1.341.790.215.838,1576075507357.0,1341790215838.0
