row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Số dư đầu năm > Ngày01/01/2015 > VND,Số dư đầu năm > Ngày01/01/2016 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày31/12/2015 > VND,Số dư cuối năm > Ngày31/12/2016 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày01/01/2015 > VND,numeric__Số dư đầu năm > Ngày01/01/2016 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày31/12/2015 > VND,numeric__Số dư cuối năm > Ngày31/12/2016 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
II. THU NHẬP TOÀN DIỆN KHẮC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHẮC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHẮC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,40,(13.462.919.042),(3.123.757.542),16.932.658.299,(6.593.496.799),2.596.845.764,(2.162.578.365),(3.123.757.542),(2.689.490.143),40.0,-13462919042.0,-3123757542.0,16932658299.0,-6593496799.0,2596845764.0,-2162578365.0,-3123757542.0,-2689490143.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,(13.462.919.042),(3.123.757.542),16.932.658.299,(6.593.496.799),2.596.845.764,(2.162.578.365),(3.123.757.542),(2.689.490.143),,-13462919042.0,-3123757542.0,16932658299.0,-6593496799.0,2596845764.0,-2162578365.0,-3123757542.0,-2689490143.0
