row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị ghi sốVND,Số cuối năm > Giá trị hợp lý (2)VND,Số đầu năm (trình bày lại) > Giá gốcVND,Số đầu năm (trình bày lại) > Giá trị ghi sốVND,Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị ghi sốVND,numeric__Số cuối năm > Giá trị hợp lý (2)VND,numeric__Số đầu năm (trình bày lại) > Giá gốcVND,numeric__Số đầu năm (trình bày lại) > Giá trị ghi sốVND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND
Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),814.610.060.866,811.920.570.723,1.450.302.936.240,601.526.137.510,598.402.379.976,1.221.871.304.600,814610060866.0,811920570723.0,1450302936240.0,601526137510.0,598402379976.0,1221871304600.0
VSC,VSC,VSC,175.885.933.796,175.885.933.796,204.374.352.000,130.725.685.748,130.725.685.748,213.625.643.000,175885933796.0,175885933796.0,204374352000.0,130725685748.0,130725685748.0,213625643000.0
TMS,TMS,TMS,113.028.048.762,113.028.048.762,246.273.781.100,99.845.361.724,99.845.361.724,461.148.769.500,113028048762.0,113028048762.0,246273781100.0,99845361724.0,99845361724.0,461148769500.0
OPC,OPC,OPC,113.218.396.107,113.218.396.107,151.464.696.600,113.076.487.266,113.076.487.266,137.037.565.000,113218396107.0,113218396107.0,151464696600.0,113076487266.0,113076487266.0,137037565000.0
GIL,GIL,GIL,7.690.629.840,7.624.907.598,7.835.175.000,81.968.204.098,81.943.671.500,94.752.910.000,7690629840.0,7624907598.0,7835175000.0,81968204098.0,81943671500.0,94752910000.0
SGN,SGN,SGN,204.116.454.286,204.116.454.286,562.729.138.440,109.073.594.000,109.073.594.000,193.391.158.800,204116454286.0,204116454286.0,562729138440.0,109073594000.0,109073594000.0,193391158800.0
CTD,CTD,CTD,107.474.155.061,107.474.155.061,127.765.695.000,941.861,941.861,2.907.000,107474155061.0,107474155061.0,127765695000.0,941861.0,941861.0,2907000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,93.196.443.014,90.572.675.113,149.860.098.100,66.835.862.813,63.736.637.877,121.912.351.300,93196443014.0,90572675113.0,149860098100.0,66835862813.0,63736637877.0,121912351300.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,147.905.540.000,147.905.540.000,165.005.540.000,-,-,-,147905540000.0,147905540000.0,165005540000.0,,,
TCT Máy động lực và máy nông nghiệp Việt Nam,TCT Máy động lực và máy nông nghiệp Việt Nam,TCT Máy động lực và máy nông nghiệp Việt Nam,142.900.000.000,142.900.000.000,160.000.000.000,-,-,-,142900000000.0,142900000000.0,160000000000.0,,,
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,5.005.540.000,5.005.540.000,5.005.540.000,-,-,-,5005540000.0,5005540000.0,5005540000.0,,,
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,-,-,-,204.948.811.623,204.948.811.623,231.166.558.218,,,,204948811623.0,204948811623.0,231166558218.0
Trái phiếu BID_106,Trái phiếu BID_106,Trái phiếu BID_106,-,-,-,204.948.811.623,204.948.811.623,231.166.558.218,,,,204948811623.0,204948811623.0,231166558218.0
Tổng cộng,Tổng cộng,Tổng cộng,962.515.600.866,959.826.110.723,1.615.308.476.240,806.474.949.133,803.351.191.599,1.453.037.862.818,962515600866.0,959826110723.0,1615308476240.0,806474949133.0,803351191599.0,1453037862818.0
