row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Chi phí hoạt động quản lý quỹ,Chi phí hoạt động quản lý quỹ,Chi phí hoạt động quản lý quỹ,7.241.357.682,7.337.750.253,7241357682.0,7337750253.0
Chi phí hoạt động quản lý danh mục,Chi phí hoạt động quản lý danh mục,Chi phí hoạt động quản lý danh mục,655.340.414,99.462.382,655340414.0,99462382.0
Chi phí hoạt động tư vấn đầu tư,Chi phí hoạt động tư vấn đầu tư,Chi phí hoạt động tư vấn đầu tư,16.834.510.565,2.824.407.493,16834510565.0,2824407493.0
Chi phí lãi hợp đồng bán cam kết mua lại chứng khoán,Chi phí lãi hợp đồng bán cam kết mua lại chứng khoán,Chi phí lãi hợp đồng bán cam kết mua lại chứng khoán,3.257.372.332,6.847.181.684,3257372332.0,6847181684.0
Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán,Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán,Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán,21.435.676.924,21.099.879.520,21435676924.0,21099879520.0
Chi phí cho thuê văn phòng,Chi phí cho thuê văn phòng,Chi phí cho thuê văn phòng,16.232.449.138,16.148.996.800,16232449138.0,16148996800.0
Dự phòng phải thu khó đòi khác,Dự phòng phải thu khó đòi khác,Dự phòng phải thu khó đòi khác,11.731.826.423,143.099.211,11731826423.0,143099211.0
- Dự phòng phải thu các dịch vụ công ty chứng khoán cung cấp,- Dự phòng phải thu các dịch vụ công ty chứng khoán cung cấp,- Dự phòng phải thu các dịch vụ công ty chứng khoán cung cấp,11.708.127.607,127.300.000,11708127607.0,127300000.0
- Dự phòng phải thu khác,- Dự phòng phải thu khác,- Dự phòng phải thu khác,23.698.816,15.799.211,23698816.0,15799211.0
Chi phí khác,Chi phí khác,Chi phí khác,4.864.174.757,5.551.075.470,4864174757.0,5551075470.0
Tổng cộng,Tổng cộng,Tổng cộng,82.252.708.235,60.051.852.813,82252708235.0,60051852813.0
