row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí) VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí) VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm VND,Tăng trong năm VND,Giảm trong năm VND,Số cuối năm VND,Doanh thu/ (chi phí) VND,,,,,,
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Góp vốn đầu tư,15.000.000.000,-,-,15.000.000.000,-,,15000000000.0,,,15000000000.0,
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,"Phi ứng trước tiền bán chứng khoán, phí lưu ký và phí giao dịch chứng khoán",-,2.287.264.060,(2.287.264.060),-,2.287.264.060,,,2287264060.0,-2287264060.0,,2287264060.0
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Tiền thuê mặt bằng,-,(12.067.451.000),12.067.451.000,-,(15.729.757.998),,,-12067451000.0,12067451000.0,,-15729757998.0
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Đặt cọc tiền thuê văn phòng,10.800.702.000,-,-,10.800.702.000,-,,10800702000.0,,,10800702000.0,
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Lãi đặt cọc tiền thuê văn phòng,-,1.098.071.372,(1.098.071.372),-,1.098.071.372,,,1098071372.0,-1098071372.0,,1098071372.0
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Phải thu ký quỹ,103.705.068.842,1.757.861.451.705,(1.725.277.756.535),136.288.764.012,10.407.357.927,,103705068842.0,1757861451705.0,-1725277756535.0,136288764012.0,10407357927.0
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Ứng trước hợp đồng môi giới trái phiếu,142.446.211.500,-,(142.446.211.500),-,-,,142446211500.0,,-142446211500.0,,
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Giao dịch mua bán chứng khoán tự doanh và danh mục ủy thác,-,995.436.430.000,(995.436.430.000),-,-,,,995436430000.0,-995436430000.0,,
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Phí tư vấn đầu tư chứng khoán,-,2.488.808.138,(1.852.872.290),635.935.848,2.488.808.138,,,2488808138.0,-1852872290.0,635935848.0,2488808138.0
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Cổ tức SSI,-,(2.598.502.000),2.598.502.000,-,-,,,-2598502000.0,2598502000.0,,
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Mua trái phiếu,(150.000.000.000),-,150.000.000.000,-,-,,-150000000000.0,,150000000000.0,,
Công ty CP Đầu tư Đường Mặt Trời,Công ty liên quan > Công ty CP Đầu tư Đường Mặt Trời,Công ty CP Đầu tư Đường Mặt Trời,Lãi trái phiếu phải trả,(11.821.666.667),(6.962.291.666),18.783.958.333,-,(6.962.291.666),,-11821666667.0,-6962291666.0,18783958333.0,,-6962291666.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Phí giao dịch chứng khoán và ứng trước tiền bán chứng khoán, phí dịch vụ",-,513.666.694,(513.666.694),-,513.666.694,,,513666694.0,-513666694.0,,513666694.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Giao dịch mua bán chứng khoán,-,763.386.130.000,(763.386.130.000),-,-,,,763386130000.0,-763386130000.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Cổ tức SSI,-,(42.304.080.000),42.304.080.000,-,-,,,-42304080000.0,42304080000.0,,
