row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Kinh doanh nguồn vốn VND,Quản lý danh mục VND,Ngân hàng đầu tư và các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Kinh doanh nguồn vốn VND,numeric__Quản lý danh mục VND,numeric__Ngân hàng đầu tư và các bộ phận khác VND,numeric__Tổng cộng VND
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,Năm nay > 1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,867.914.980.474,933.981.475.118,365.972.768.048,32.534.869.998,111.564.226.908,2.311.968.320.546,867914980474.0,933981475118.0,365972768048.0,32534869998.0,111564226908.0,2311968320546.0
2. Các chi phí trực tiếp,Năm nay > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,398.225.719.619,419.270.121.646,250.253.064.916,6.182.802.166,43.119.142.872,1.117.050.851.219,398225719619.0,419270121646.0,250253064916.0,6182802166.0,43119142872.0,1117050851219.0
3. Khấu hao và các chi phí phân bổ,Năm nay > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,80.093.133.340,19.678.054.313,11.047.328.737,6.559.351.438,20.713.741.384,138.091.609.212,80093133340.0,19678054313.0,11047328737.0,6559351438.0,20713741384.0,138091609212.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Năm nay > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,389.596.127.515,495.033.299.159,104.672.374.395,19.792.716.394,47.731.342.652,1.056.825.860.115,389596127515.0,495033299159.0,104672374395.0,19792716394.0,47731342652.0,1056825860115.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,,
1. Tài sản bộ phận,Số dư cuối năm > 1. Tài sản bộ phận,1. Tài sản bộ phận,3.770.780.023.466,3.547.596.293.979,5.380.560.552.579,29.465.173.739,5.418.301.922,12.733.820.345.685,3770780023466.0,3547596293979.0,5380560552579.0,29465173739.0,5418301922.0,12733820345685.0
2. Tài sản phân bổ,Số dư cuối năm > 2. Tài sản phân bổ,2. Tài sản phân bổ,139.089.596.422,34.172.874.983,19.184.771.920,11.390.958.328,35.971.447.351,239.809.649.004,139089596422.0,34172874983.0,19184771920.0,11390958328.0,35971447351.0,239809649004.0
3. Tài sản không phân bổ,Số dư cuối năm > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,,-,254.339.257.015,,,,,,254339257015.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,3.909.869.619.888,3.581.769.168.962,5.399.745.324.499,40.856.132.067,41.389.749.273,13.227.969.251.704,3909869619888.0,3581769168962.0,5399745324499.0,40856132067.0,41389749273.0,13227969251704.0
1. Nợ phải trả bộ phận,Số dư cuối năm > 1. Nợ phải trả bộ phận,1. Nợ phải trả bộ phận,357.562.927.034,382.044.476.764,5.082.741.133.761,1.783.491.661,5.666.797.792,5.829.798.827.012,357562927034.0,382044476764.0,5082741133761.0,1783491661.0,5666797792.0,5829798827012.0
2. Nợ phân bổ,Số dư cuối năm > 2. Nợ phân bổ,2. Nợ phân bổ,91.024.989.362,22.363.898.248,12.555.170.946,7.454.632.749,23.540.945.525,156.939.636.830,91024989362.0,22363898248.0,12555170946.0,7454632749.0,23540945525.0,156939636830.0
3. Nợ không phân bổ,Số dư cuối năm > 3. Nợ không phân bổ,3. Nợ không phân bổ,-,-,-,,-,88.663.631.180,,,,,,88663631180.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,448.587.916.396,404.408.375.012,5.095.296.304.707,9.238.124.410,29.207.743.317,6.075.402.095.022,448587916396.0,404408375012.0,5095296304707.0,9238124410.0,29207743317.0,6075402095022.0
