row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số VND,Số cuối năm > Giá trị hợp lý (3) VND,Số đầu năm (trình bày lại) > Giá trị ghi số VND,Số đầu năm (trình bày lại) > Giá trị hợp lý (3) VND,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số cuối năm > Giá trị hợp lý (3) VND,numeric__Số đầu năm (trình bày lại) > Giá trị ghi số VND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lý (3) VND
Cho vay hoạt động kỳ quỹ (1),Cho vay hoạt động kỳ quỹ (1),Cho vay hoạt động kỳ quỹ (1),3.564.875.010.978,3.536.444.006.045,3.256.363.621.210,3.256.363.621.210,3564875010978.0,3536444006045.0,3256363621210.0,3256363621210.0
Cho vay hoạt động ứng trước tiền bán của khách hàng,Cho vay hoạt động ứng trước tiền bán của khách hàng,Cho vay hoạt động ứng trước tiền bán của khách hàng,214.303.031.818,214.303.031.818,93.457.735.870,93.457.735.870,214303031818.0,214303031818.0,93457735870.0,93457735870.0
Cho vay ứng trước tiền bán chứng khoán theo hợp đồng môi giới chứng khoán (2),Cho vay ứng trước tiền bán chứng khoán theo hợp đồng môi giới chứng khoán (2),Cho vay ứng trước tiền bán chứng khoán theo hợp đồng môi giới chứng khoán (2),-,-,284.251.211.500,284.251.211.500,,,284251211500.0,284251211500.0
Tổng cộng,Tổng cộng,Tổng cộng,3.779.178.042.796,3.750.747.037.863,3.634.072.568.580,3.634.072.568.580,3779178042796.0,3750747037863.0,3634072568580.0,3634072568580.0
