row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay VND,Năm trước (trình bày lại) VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
,,,I. DOANH THU HOẠT ĐỘNG,,,,,,,
01,01,01,1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,722.296.311.579,603.499.177.813,,,722296311579.0,603499177813.0
01.1,01.1,01.1,1.1. Lãi bán các tài sản tài chính FVTPL,30.1,528.554.451.781,204.039.816.705,,301.0,528554451781.0,204039816705.0
01.2,01.2,01.2,1.2. Chênh lệch tăng về đánh giá lại các tài sản tài chính FVTPL,30.2,152.456.070.613,360.098.887.258,,302.0,152456070613.0,360098887258.0
01.3,01.3,01.3,"1.3. Cổ tức, tiền lãi phát sinh từ tài sản tài chính FVTPL",30.3,41.285.789.185,39.360.473.850,,303.0,41285789185.0,39360473850.0
02,02,02,2. Lãi từ các khoản đầu tư nằm giữ đến ngày đáo hạn (HTM),30.3,344.890.502.306,194.038.113.177,,303.0,344890502306.0,194038113177.0
03,03,03,3. Lãi từ các khoản cho vay và phải thu,30.3,429.400.211.341,297.393.256.685,,303.0,429400211341.0,297393256685.0
04,04,04,4. Lãi từ tài sản tài chính sẵn sàng để bán (AFS),30.3,75.010.273.478,40.681.868.509,,303.0,75010273478.0,40681868509.0
06,06,06,5. Doanh thu nghiệp vụ môi giới chứng khoán,,381.169.657.999,287.588.703.038,,,381169657999.0,287588703038.0
07,07,07,"6. Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",,11.238.000.000,12.390.049.452,,,11238000000.0,12390049452.0
08,08,08,7. Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán,,33.282.441.007,13.652.830.477,,,33282441007.0,13652830477.0
09,09,09,8. Doanh thu nghiệp vụ lưu ký chứng khoán,,9.582.231.035,7.363.367.773,,,9582231035.0,7363367773.0
10,10,10,9. Doanh thu hoạt động tư vấn tài chính,,95.374.902.451,31.051.206.125,,,95374902451.0,31051206125.0
11,11,11,10. Thu nhập hoạt động khác,32,114.524.308.025,59.860.140.340,,32.0,114524308025.0,59860140340.0
20,20,20,Cộng doanh thu hoạt động,,2.216.768.839.221,1.547.518.713.389,,,2216768839221.0,1547518713389.0
,,,II. CHI PHÍ HOẠT ĐỘNG,,,,,,,
21,21,21,1. Lỗ từ các tài sản tài chính FVTPL,,226.194.728.553,172.948.769.284,,,226194728553.0,172948769284.0
21.1,21.1,21.1,1.1 Lỗ bán các tài sản tài chính FVTPL,30.1,107.924.651.851,44.709.454.119,,301.0,107924651851.0,44709454119.0
21.2,21.2,21.2,1.2 Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,30.2,117.301.550.432,128.239.315.165,,302.0,117301550432.0,128239315165.0
21.3,21.3,21.3,1.3 Chi phí giao dịch mua các tài sản tài chính FVTPL,,968.526.270,-,,,968526270.0,
23,23,23,2. Lỗ và ghi nhận chênh lệch đánh giá theo giá trị hợp lý tài sản tài chính AFS khi phân loại lại,,1.233.535.166,-,,,1233535166.0,
24,24,24,"3. Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",31,177.853.152.433,506.369.514,,31.0,177853152433.0,506369514.0
26,26,26,4. Chi phí hoạt động tư doanh,,3.031.991.259,273.979.827,,,3031991259.0,273979827.0
27,27,27,5. Chi phí nghiệp vụ môi giới chứng khoán,33,302.635.295.291,223.408.493.002,,33.0,302635295291.0,223408493002.0
28,28,28,"6. Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",33,-,30.000.000,,33.0,,30000000.0
29,29,29,7. Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,33,14.205.710.814,11.522.471.372,,33.0,14205710814.0,11522471372.0
30,30,30,8. Chi phí nghiệp vụ lưu kỹ chứng khoán,33,14.217.781.607,11.074.672.752,,33.0,14217781607.0,11074672752.0
31,31,31,9. Chi phí hoạt động tư vấn tài chính,33,26.015.542.418,15.192.643.403,,33.0,26015542418.0,15192643403.0
32,32,32,10. Chi phí hoạt động khác,"33, 34",82.252.708.235,60.051.852.813,,,82252708235.0,60051852813.0
40,40,40,Cộng chí phí hoạt động,,847.640.445.776,495.009.251.967,,,847640445776.0,495009251967.0
