row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Ngày 1 tháng 1năm 2016,Nguyên giá > Ngày 1 tháng 1năm 2016,Ngày 1 tháng 1năm 2016,2.609.391.520,68.941.847.513,14.504.261.403,1.194.583.642,87.250.084.078,2609391520.0,68941847513.0,14504261403.0,1194583642.0,87250084078.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.980.095.344,-,98.970.000,3.079.065.344,,2980095344.0,,98970000.0,3079065344.0
Mua trongnăm,Nguyên giá > Mua trongnăm,Mua trongnăm,-,2.980.095.344,-,98.970.000,3.079.065.344,,2980095344.0,,98970000.0,3079065344.0
Giảm trongnăm,Nguyên giá > Giảm trongnăm,Giảm trongnăm,-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
"Thanh lý,nhuộngbán","Nguyên giá > Thanh lý,nhuộngbán","Thanh lý,nhuộngbán",-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
Ngày 31 tháng12 năm 2016,Nguyên giá > Ngày 31 tháng12 năm 2016,Ngày 31 tháng12 năm 2016,2.609.391.520,71.546.030.857,14.504.261.403,1.293.553.642,89.953.237.422,2609391520.0,71546030857.0,14504261403.0,1293553642.0,89953237422.0
Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,,,,,
Ngày 1 tháng 1năm 2016,Khấu hao lũykế > Ngày 1 tháng 1năm 2016,Ngày 1 tháng 1năm 2016,2.609.391.520,59.092.396.347,9.643.207.476,1.107.270.974,72.452.266.317,2609391520.0,59092396347.0,9643207476.0,1107270974.0,72452266317.0
Tăng trong năm,Khấu hao lũykế > Tăng trong năm,Tăng trong năm,-,4.154.827.333,1.085.531.955,67.075.333,5.307.434.621,,4154827333.0,1085531955.0,67075333.0,5307434621.0
Khấu hao trong năm,Khấu hao lũykế > Khấu hao trong năm,Khấu hao trong năm,-,4.154.827.333,1.085.531.955,67.075.333,5.307.434.621,,4154827333.0,1085531955.0,67075333.0,5307434621.0
Giảm trongnăm,Khấu hao lũykế > Giảm trongnăm,Giảm trongnăm,-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
"Thanh lý,nhuộngbán","Khấu hao lũykế > Thanh lý,nhuộngbán","Thanh lý,nhuộngbán",-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
Ngày 31 tháng12 năm 2016,Khấu hao lũykế > Ngày 31 tháng12 năm 2016,Ngày 31 tháng12 năm 2016,2.609.391.520,62.871.311.680,10.728.739.431,1.174.346.307,77.383.788.938,2609391520.0,62871311680.0,10728739431.0,1174346307.0,77383788938.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Ngày 1 tháng 1năm 2016,Giá trị còn lại > Ngày 1 tháng 1năm 2016,Ngày 1 tháng 1năm 2016,-,9.849.451.166,4.861.053.927,87.312.668,14.797.817.761,,9849451166.0,4861053927.0,87312668.0,14797817761.0
Ngày 31 tháng12 năm 2016,Giá trị còn lại > Ngày 31 tháng12 năm 2016,Ngày 31 tháng12 năm 2016,-,8.674.719.177,3.775.521.972,119.207.335,12.569.448.484,,8674719177.0,3775521972.0,119207335.0,12569448484.0
Tổng cộng,Giá trị còn lại > Tổng cộng,Tổng cộng,-,8.674.719.177,3.775.521.972,119.207.335,12.569.448.484,,8674719177.0,3775521972.0,119207335.0,12569448484.0
