row_label_raw,row_label_full,col_0,Năm nàyVND,Năm trước(trình bày lại)VND,numeric__Năm nàyVND,numeric__Năm trước(trình bày lại)VND
Lương và các khoản phúc lợi,Lương và các khoản phúc lợi,Lương và các khoản phúc lợi,67.534.013.496,64.312.946.239,67534013496.0,64312946239.0
"BHXH, BHYT, KPCĐ, BHTN","BHXH, BHYT, KPCĐ, BHTN","BHXH, BHYT, KPCĐ, BHTN",3.871.949.939,3.434.952.600,3871949939.0,3434952600.0
Chi phí văn phòng phẩm,Chi phí văn phòng phẩm,Chi phí văn phòng phẩm,947.538.632,1.040.030.423,947538632.0,1040030423.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.943.753.742,1.630.131.660,1943753742.0,1630131660.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,5.404.422.834,7.105.165.183,5404422834.0,7105165183.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,51.098.854.494,45.403.573.229,51098854494.0,45403573229.0
Chi phí khác,Chi phí khác,Chi phí khác,9.793.075.068,10.989.652.073,9793075068.0,10989652073.0
Tổng cộng,Tổng cộng,Tổng cộng,140.593.608.205,133.916.451.407,140593608205.0,133916451407.0
