row_label_raw,row_label_full,CHỈ TIÊU,Diễn giải,Ngày 31 tháng 12 năm 2015 (số liệu đã trình bày trước đây),Phân loại lại,Ngày 31 tháng 12 năm 2015 (trình bày lại),numeric__Diễn giải,numeric__Ngày 31 tháng 12 năm 2015 (số liệu đã trình bày trước đây),numeric__Phân loại lại,numeric__Ngày 31 tháng 12 năm 2015 (trình bày lại)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,,6.669.872.389.630,(1.244.049.806.392),5.425.822.583.238,,6669872389630.0,-1244049806392.0,5425822583238.0
Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,[5],1.550.598.384.658,(1.241.656.219.532),308.942.165.126,,1550598384658.0,-1241656219532.0,308942165126.0
Các khoản trích nộp phúc lợi nhận viên (*),Các khoản trích nộp phúc lợi nhận viên (*),Các khoản trích nộp phúc lợi nhận viên (*),[5],,6.742.952,6.742.952,,,6742952.0,6742952.0
"Phải trả hồ cổ tức, gốc và lãi trái phiếu (**)","Phải trả hồ cổ tức, gốc và lãi trái phiếu (**)","Phải trả hồ cổ tức, gốc và lãi trái phiếu (**)",[5],10.002.807.034,(10.002.807.034),-,,10002807034.0,-10002807034.0,
Phải trả tổ chức phát hành (**),Phải trả tổ chức phát hành (**),Phải trả tổ chức phát hành (**),[5],689.438.960,(689.438.960),-,,689438960.0,-689438960.0,
"Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",[5],186.619.220.070,8.291.916.192,194.911.136.262,,186619220070.0,8291916192.0,194911136262.0
Vay và nợ dài hạn (**),Vay và nợ dài hạn (**),Vay và nợ dài hạn (**),[5],687.500.000.000,(687.500.000.000),-,,687500000000.0,-687500000000.0,
Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),Trái phiếu phát hành dài hạn (*),[5],-,687.500.000.000,687.500.000.000,,,687500000000.0,687500000000.0
"Nhận ký quỹ, ký cược dài hạn (*)","Nhận ký quỹ, ký cược dài hạn (*)","Nhận ký quỹ, ký cược dài hạn (*)",[5],,453.246.599,453.246.599,,,453246599.0,453246599.0
"Các khoản phải trả, phải nộp dài hạn khác (**)","Các khoản phải trả, phải nộp dài hạn khác (**)","Các khoản phải trả, phải nộp dài hạn khác (**)",[5],453.246.599,(453.246.599),-,,453246599.0,-453246599.0,
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,6.727.609.014.290,-,6.727.609.014.290,,6727609014290.0,,6727609014290.0
Chênh lệch đánh giá tài sản theo giá trị hợp lý (*),Chênh lệch đánh giá tài sản theo giá trị hợp lý (*),Chênh lệch đánh giá tài sản theo giá trị hợp lý (*),[6],-,(3.123.757.542),(3.123.757.542),,,-3123757542.0,-3123757542.0
Quỹ dự phòng tài chính và dự trữ pháp đinh (**),Quỹ dự phòng tài chính và dự trữ pháp đinh (**),Quỹ dự phòng tài chính và dự trữ pháp đinh (**),[6],451.646.309.750,(451.646.309.750),-,,451646309750.0,-451646309750.0,
Quỹ dự trữ điều lệ (*),Quỹ dự trữ điều lệ (*),Quỹ dự trữ điều lệ (*),[6],-,268.076.952.217,268.076.952.217,,,268076952217.0,268076952217.0
Quỹ dự phòng tài chính và rủi ro nghiệp vụ (*),Quỹ dự phòng tài chính và rủi ro nghiệp vụ (*),Quỹ dự phòng tài chính và rủi ro nghiệp vụ (*),[6],-,183.569.357.533,183.569.357.533,,,183569357533.0,183569357533.0
Lợi nhuận chưa phân phối Lợi nhuận chưa thực hiện (*),Lợi nhuận chưa phân phối Lợi nhuận chưa thực hiện (*),Lợi nhuận chưa phân phối Lợi nhuận chưa thực hiện (*),[6],1.338.666.458.296,3.123.757.542,1.341.790.215.838,,1338666458296.0,3123757542.0,1341790215838.0
Lợi nhuận đã thực hiện (*),Lợi nhuận đã thực hiện (*),Lợi nhuận đã thực hiện (*),[6],-,(186.249.268.054),(186.249.268.054),,,-186249268054.0,-186249268054.0
TỔNG CỘNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG CỘNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG CỘNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,13.397.481.403.920,(1.244.049.806.392),12.153.431.597.528,,13397481403920.0,-1244049806392.0,12153431597528.0
