row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán VND,Giá trị ghi số VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm (trình bày lại) VND,Chênh lệch thuần điều chỉnh số kế toán trong năm VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị ghi số VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm (trình bày lại) VND,numeric__Chênh lệch thuần điều chỉnh số kế toán trong năm VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
I,I,I,Loại FVTPL,1.576.762.250.963,1.425.667.503.090,(151.094.747.873),(186.249.268.054),35.154.520.181,152.456.070.613,(117.301.550.432),,1576762250963.0,1425667503090.0,-151094747873.0,-186249268054.0,35154520181.0,152456070613.0,-117301550432.0
1,1,1,Cổ phiếu niêm yết HPG,1.192.233.668.924,1.091.451.521.096,(100.782.147.828),(131.673.837.644),30.891.689.816,134.100.352.333,(103.208.662.517),,1192233668924.0,1091451521096.0,-100782147828.0,-131673837644.0,30891689816.0,134100352333.0,-103208662517.0
1,1,1,Cổ phiếu niêm yết HPG,62.389.734.766,62.389.734.766,-,(41.233.202.580),41.233.202.580,41.233.202.580,-,,62389734766.0,62389734766.0,,-41233202580.0,41233202580.0,41233202580.0,
1,1,1,ELC,206.857.447.945,206.857.447.945,-,(12.599.747.697),12.599.747.697,17.485.732.637,(4.885.984.940),,206857447945.0,206857447945.0,,-12599747697.0,12599747697.0,17485732637.0,-4885984940.0
1,1,1,SSC,165.218.161.649,116.265.149.512,(48.953.012.137),-,(48.953.012.137),8.339.940.000,(57.292.952.137),,165218161649.0,116265149512.0,-48953012137.0,,-48953012137.0,8339940000.0,-57292952137.0
1,1,1,PVS,77.970.999.907,63.439.530.184,(14.531.469.723),(51.581.432.350),37.049.962.627,38.486.729.906,(1.436.767.279),,77970999907.0,63439530184.0,-14531469723.0,-51581432350.0,37049962627.0,38486729906.0,-1436767279.0
1,1,1,LAS,41.063.264.511,40.888.080.914,(175.183.597),-,(175.183.597),20.568.944.734,(20.744.128.331),,41063264511.0,40888080914.0,-175183597.0,,-175183597.0,20568944734.0,-20744128331.0
1,1,1,ABC,41.839.250.000,41.839.250.000,-,-,-,544.712.620,(544.712.620),,41839250000.0,41839250000.0,,,,544712620.0,-544712620.0
1,1,1,Cổ phiếu khác,596.894.810.146,559.772.327.775,(37.122.482.371),(26.259.455.017),(10.863.027.354),7.441.089.856,(18.304.117.210),,596894810146.0,559772327775.0,-37122482371.0,-26259455017.0,-10863027354.0,7441089856.0,-18304117210.0
2,2,2,Cổ phiếu chưa niêm yết DCC,82.191.081.939,31.878.481.894,(50.312.600.045),(54.575.430.410),4.262.830.365,18.355.718.280,(14.092.887.915),,82191081939.0,31878481894.0,-50312600045.0,-54575430410.0,4262830365.0,18355718280.0,-14092887915.0
2,2,2,Cổ phiếu chưa niêm yết DCC,17.456.571.492,9.337.620.500,(8.118.950.992),(8.486.337.577),367.386.585,9.337.620.500,(8.970.233.915),,17456571492.0,9337620500.0,-8118950992.0,-8486337577.0,367386585.0,9337620500.0,-8970233915.0
2,2,2,ABC,-,-,-,(8.240.110.000),8.240.110.000,8.240.110.000,-,,,,,-8240110000.0,8240110000.0,8240110000.0,
2,2,2,Cổ phiếu chưa niêm yết khác,64.734.510.447,22.540.861.394,(42.193.649.053),(37.848.982.833),(4.344.666.220),777.987.780,(5.122.654.000),,64734510447.0,22540861394.0,-42193649053.0,-37848982833.0,-4344666220.0,777987780.0,-5122654000.0
3,3,3,Trải phiếu,302.337.500.100,302.337.500.100,-,-,-,-,-,,302337500100.0,302337500100.0,,,,,
II,II,II,Loại AFS,962.515.600.866,959.826.110.723,(2.689.490.143),(3.123.757.542),434.267.399,2.596.845.764,(2.162.578.365),,962515600866.0,959826110723.0,-2689490143.0,-3123757542.0,434267399.0,2596845764.0,-2162578365.0
1,1,1,Cổ phiếu niêm yết,814.610.060.866,811.920.570.723,(2.689.490.143),(3.123.757.542),434.267.399,2.596.845.764,(2.162.578.365),,814610060866.0,811920570723.0,-2689490143.0,-3123757542.0,434267399.0,2596845764.0,-2162578365.0
2,2,2,Cổ phiếu chưa niêm yết,147.905.540.000,147.905.540.000,-,-,-,-,-,,147905540000.0,147905540000.0,,,,,
,,,Tổng cộng,2.539.277.851.829,2.385.493.613.813,(153.784.238.016),(189.373.025.596),35.588.787.580,155.052.916.377,(119.464.128.797),,2539277851829.0,2385493613813.0,-153784238016.0,-189373025596.0,35588787580.0,155052916377.0,-119464128797.0
