row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay VND,Năm trước (trình bày lại) VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
,,,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,1. Lợi nhuận trước Thuế TNDN,,1.056.825.860.115,1.053.797.641.057,,,1056825860115.0,1053797641057.0
02,02,02,2. Điều chỉnh cho các khoản:,,(547.985.279.914),(519.939.678.558),,,-547985279914.0,-519939678558.0
03,03,03,Khấu hao TSCĐ,,18.206.356.391,21.129.376.800,,,18206356391.0,21129376800.0
04,04,04,Các khoản dự phòng,,12.491.380.694,465.333.883,,,12491380694.0,465333883.0
06,06,06,Chi phí lãi vay,,269.313.493.289,125.206.111.513,,,269313493289.0,125206111513.0
07,07,07,Lãi từ hoạt động đầu tư,,(303.523.403.257),(295.210.251.165),,,-303523403257.0,-295210251165.0
08,08,08,Dự thu tiền lãi,,(545.379.920.119),(377.435.600.771),,,-545379920119.0,-377435600771.0
09,09,09,Các khoản điều chỉnh khác,,906.813.088,5.905.351.182,,,906813088.0,5905351182.0
10,10,10,3. Tăng các chi phí phi tiền tệ,,146.966.090.531,128.239.315.165,,,146966090531.0,128239315165.0
11,11,11,Lỗ đánh giá lại giá trị các tài sản tài chính FVTPL,,117.301.550.432,128.239.315.165,,,117301550432.0,128239315165.0
13,13,13,Lỗ suy giảm giá trị các khoản cho vay,,28.431.004.933,-,,,28431004933.0,
14,14,14,Lỗ về ghi nhận chênh lệch đánh giá theo giá trị hợp lý tài sản tài chính AFS khi phân loại lại,,1.233.535.166,-,,,1233535166.0,
18,18,18,4. Giảm các doanh thu phi tiền tệ,,(152.456.070.613),(360.098.887.258),,,-152456070613.0,-360098887258.0
19,19,19,Lãi đánh giá lại giá trị các tài sản tài chính FVTPL,,(152.456.070.613),(360.098.887.258),,,-152456070613.0,-360098887258.0
30,30,30,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,503.350.600.119,301.998.390.406,,,503350600119.0,301998390406.0
31,31,31,Tăng tài sản tài chính FVTPL,,(303.374.137.930),(153.194.917.051),,,-303374137930.0,-153194917051.0
32,32,32,(Tăng)/giảm các khoản đầu tư HTM,,699.738.982.082,(54.108.722.078),,,699738982082.0,-54108722078.0
33,33,33,Tăng các khoản cho vay,,(145.105.474.216),(1.532.839.464.605),,,-145105474216.0,-1532839464605.0
34,34,34,Tăng tài sản tài chính AFS,,(167.207.209.943),(119.759.468.681),,,-167207209943.0,-119759468681.0
35,35,35,Tăng phải thu bán các tài sản tài chính,,(50.954.500.000),(260.170.000),,,-50954500000.0,-260170000.0
37,37,37,(Tăng)/giảm phải thu các dịch vụ CTCK cung cấp,,(26.918.424.600),466.038.239,,,-26918424600.0,466038239.0
39,39,39,Giảm các khoản phải thu khác,,6.678.953.786,91.055.556.910,,,6678953786.0,91055556910.0
40,40,40,(Tăng)/giảm các tài sản khác,,147.298.363.103,(1.543.077.252),,,147298363103.0,-1543077252.0
41,41,41,Tăng chi phí phải trả (không bao gồm chi phí lãi vay),,14.475.876.517,126.092.661,,,14475876517.0,126092661.0
42,42,42,Tăng chi phí trả trước,,(27.603.968.238),(4.464.770.160),,,-27603968238.0,-4464770160.0
43,43,43,Thuế TNDN đã nộp,,(244.437.916.359),(150.005.958.158),,,-244437916359.0,-150005958158.0
44,44,44,Lãi vay đã trả,,(284.596.104.749),(76.983.956.945),,,-284596104749.0,-76983956945.0
45,45,45,Tăng phải trả cho người bán,,4.420.863.801,1.140.247.222,,,4420863801.0,1140247222.0
46,46,46,Tăng/(giảm) các khoản trích nộp phúc lợi nhân viên,,2.990.600,(27.106.993),,,2990600.0,-27106993.0
47,47,47,Tăng/(giảm) thuế và các khoản phải nộp Nhà nước,,5.702.846.752,(9.064.127.691),,,5702846752.0,-9064127691.0
48,48,48,Tăng phải trả người lao động,,818.241.764,246.640.131,,,818241764.0,246640131.0
50,50,50,"Giảm phải trả, phải nộp khác",,(171.623.597.740),(82.605.034.370),,,-171623597740.0,-82605034370.0
51,51,51,Tiền thu khác từ hoạt động kinh doanh,,575.402.759.035,379.245.169.732,,,575402759035.0,379245169732.0
,,,- Tiền lãi đã thu,,561.567.025.235,379.241.944.732,,,561567025235.0,379241944732.0
,,,- Tiền thu khác,,13.835.733.800,3.225.000,,,13835733800.0,3225000.0
52,52,52,Tiền chi khác từ hoạt động kinh doanh,,(39.743.402.871),(41.077.202.125),,,-39743402871.0,-41077202125.0
60,60,60,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,,496.325.740.913,(1.451.655.840.808),,,496325740913.0,-1451655840808.0
