row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (trình bày lại)
,,,A. TÀI SẢN CỦA CÔNG TY CHỨNG KHOÁN (CTCK) VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,
005,005,005,Ngoại tệ các loại USD EUR,29.1 29.1,"5.028.241,29 57.765,13","4.994.977,50 -",,,,
006,005 > 006,006,Cổ phiếu đang lưu hành (số lượng),28.4,489.825.250,480.057.365,,284.0,489825250.0,480057365.0
007,005 > 007,007,Cổ phiếu quỹ (số lượng),28.4,238.434,6.319,,284.0,238434.0,6319.0
008,005 > 008,008,Tài sản tài chính niêm yết/đăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),29.2,959.988.530.000,854.638.390.000,,292.0,959988530000.0,854638390000.0
009,005 > 009,009,Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch của CTCK (VND),29.3,10.552.040.000,24.690.050.000,,293.0,10552040000.0,24690050000.0
010,005 > 010,010,Tài sản tài chính chờ về của CTCK (VND),29.4,4.660.000,1.587.550.000,,294.0,4660000.0,1587550000.0
012,005 > 012,012,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),29.5,461.520.310.000,72.162.610.000,,295.0,461520310000.0,72162610000.0
013,005 > 013,013,Tài sản tài chính được hưởng quyền của CTCK (VND),,2.430.000,1.760.000,,,2430000.0,1760000.0
,,,B. TÀI SẢN VÀ CÁC KHOÀN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỐI KHÁCH HÀNG,,,,,,,
021,005 > 021,021,Tài sản tài chính niêm yết/đăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư (VND),29.6,26.872.935.050.000,22.222.371.140.000,,296.0,26872935050000.0,22222371140000.0
021.1,005 > 021.1,021.1,Tài sản tài chính giao dịch tự do chuyển nhượng,,22.283.452.350.000,18.135.210.430.000,,,22283452350000.0,18135210430000.0
021.2,005 > 021.2,021.2,Tài sản tài chính hạn chế chuyển nhượng,,682.966.010.000,748.571.050.000,,,682966010000.0,748571050000.0
021.3,005 > 021.3,021.3,Tài sản tài chính giao dịch cầm cố,,3.600.644.250.000,2.759.764.320.000,,,3600644250000.0,2759764320000.0
021.4,005 > 021.4,021.4,"Tài sản tài chính phong tỏa, tạm giữ",,15.664.600.000,-,,,15664600000.0,
021.5,005 > 021.5,021.5,Tài sản tài chính chờ thanh toán,,290.207.840.000,578.825.340.000,,,290207840000.0,578825340000.0
