row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,Số dư đầu năm > Ngày 01/01/2015 > VND,Số dư đầu năm > Ngày 01/01/2016 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2015 > VND,Số dư cuối năm > Ngày 31/12/2016 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01/01/2015 > VND,numeric__Số dư đầu năm > Ngày 01/01/2016 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2015 > VND,numeric__Số dư cuối năm > Ngày 31/12/2016 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,3.875.960.835.783,4.825.142.703.161,1.291.940.352.500,(342.758.485.122),106.289.284.881,(4.022.070.842),4.825.142.703.161,4.927.409.917.200,,3875960835783.0,4825142703161.0,1291940352500.0,-342758485122.0,106289284881.0,-4022070842.0,4825142703161.0,4927409917200.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,28.2,3.537.949.420.000,4.800.636.840.000,1.262.687.420.000,-,100.000.000.000,-,4.800.636.840.000,4.900.636.840.000,282.0,3537949420000.0,4800636840000.0,1262687420000.0,,100000000000.0,,4800636840000.0,4900636840000.0
1.2. Thắng dư vốn cổ phần,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.2. Thắng dư vốn cổ phần,1.2. Thắng dư vốn cổ phần,,342.196.810.218,29.285.860.000,29.423.360.000,(342.334.310.218),-,(20.000.000),29.285.860.000,29.265.860.000,,342196810218.0,29285860000.0,29423360000.0,-342334310218.0,,-20000000.0,29285860000.0,29265860000.0
1.3. Vốn khác của chủ sở hữu,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.3. Vốn khác của chủ sở hữu,1.3. Vốn khác của chủ sở hữu,,(4.185.339.535),(4.609.514.439),-,(424.174.904),8.611.585.281,(4.002.070.842),(4.609.514.439),-,,-4185339535.0,-4609514439.0,,-424174904.0,8611585281.0,-4002070842.0,-4609514439.0,
1.4. Cổ phiếu quỹ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.4. Cổ phiếu quỹ,1.4. Cổ phiếu quỹ,,(54.900),(170.482.400),(170.427.500),-,(2.322.300.400),-,(170.482.400),(2.492.782.800),,-54900.0,-170482400.0,-170427500.0,,-2322300400.0,,-170482400.0,-2492782800.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,228.753.241.307,268.076.952.217,39.323.710.910,-,43.483.653.676,-,268.076.952.217,311.560.605.893,,228753241307.0,268076952217.0,39323710910.0,,43483653676.0,,268076952217.0,311560605893.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,144.245.646.623,183.569.357.533,39.323.710.910,-,43.483.653.676,-,183.569.357.533,227.053.011.209,,144245646623.0,183569357533.0,39323710910.0,,43483653676.0,,183569357533.0,227053011209.0
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,(13.462.919.042),(3.123.757.542),16.932.658.299,(6.593.496.799),2.596.845.764,(2.162.578.365),(3.123.757.542),(2.689.490.143),,-13462919042.0,-3123757542.0,16932658299.0,-6593496799.0,2596845764.0,-2162578365.0,-3123757542.0,-2689490143.0
