row_label_raw,row_label_full,Số dư đầu năm > Mua trong năm > Thanh lý công ty liên kết trong năm,Năm nay VND > 637.417.114.391 > 25.087.436.000 > -,Năm trước VND > 1.043.972.898.151 > 203.940.333.949 > (624.521.422.920),numeric__Năm nay VND > 637.417.114.391 > 25.087.436.000 > -,numeric__Năm trước VND > 1.043.972.898.151 > 203.940.333.949 > (624.521.422.920)
Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,(3.891.899.609),(27.099.286.669),-3891899609.0,-27099286669.0
Chênh lệch do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,Chênh lệch do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,Chênh lệch do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,(7.811.526.899),-,-7811526899.0,
Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động trong năm,Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động trong năm,Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động trong năm,73.457.661.737,109.964.025.810,73457661737.0,109964025810.0
- Lợi thế thương mại đã phân bổ trong năm,- Lợi thế thương mại đã phân bổ trong năm,- Lợi thế thương mại đã phân bổ trong năm,-,(24.362.534.318),,-24362534318.0
- Phần chia sẻ lãi trong năm,- Phần chia sẻ lãi trong năm,- Phần chia sẻ lãi trong năm,73.457.661.737,93.789.245.209,73457661737.0,93789245209.0
- Lãi thanh lý công ty liên kết,- Lãi thanh lý công ty liên kết,- Lãi thanh lý công ty liên kết,-,40.537.314.919,,40537314919.0
Cổ tức thực nhận,Cổ tức thực nhận,Cổ tức thực nhận,(14.922.198.700),(65.100.941.300),-14922198700.0,-65100941300.0
Vốn khác,Vốn khác,Vốn khác,-,(3.738.492.630),,-3738492630.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,709.336.586.920,637.417.114.391,709336586920.0,637417114391.0
