row_label_raw,row_label_full,col_0,Nhà và đấtVND,numeric__Nhà và đấtVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2016,Nguyên giá > Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,311.647.615.101,311647615101.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.628.186.723,2628186723.0
- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,Nguyên giá > - Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,2.628.186.723,2628186723.0
Ngày 31 tháng 12 năm 2016,Nguyên giá > Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,314.275.801.824,314275801824.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Ngày 1 tháng 1 năm 2015,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,43.237.694.069,43237694069.0
Tăng trong năm (khấu hao),Hao mòn lũy kế > Tăng trong năm (khấu hao),Tăng trong năm (khấu hao),9.175.351.346,9175351346.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,521.584.445,521584445.0
- Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,Hao mòn lũy kế > - Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,- Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,521.584.445,521584445.0
Ngày 31 tháng 12 năm 2016,Hao mòn lũy kế > Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,52.934.629.860,52934629860.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2016,Giá trị còn lại > Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,268.409.921.032,268409921032.0
Ngày 31 tháng 12 năm 2016,Giá trị còn lại > Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,261.341.171.964,261341171964.0
Tổng cộng,Giá trị còn lại > Tổng cộng,Tổng cộng,261.341.171.964,261341171964.0
