row_label_raw,row_label_full,Dự phòng suy giảm giá trị các khoản cho vay > Dự phòng suy giảm giá trị tài sản nhận thế chấp của khoản đầu tư nhận hoàn vốn theo tiến độ (Thuyết minh số 10),Năm nayVND > 28.431.004.933 > 148.662.593.229,Năm trước(trình bày lại)VND > -,numeric__Năm nayVND > 28.431.004.933 > 148.662.593.229,numeric__Năm trước(trình bày lại)VND > -
Dự phòng phải thu bán tài sản tài chính,Dự phòng phải thu bán tài sản tài chính,Dự phòng phải thu bán tài sản tài chính,759.554.271,506.369.514,759554271.0,506369514.0
Tổng cộng,Tổng cộng,Tổng cộng,177.853.152.433,506.369.514,177853152433.0,506369514.0
