row_label_raw,row_label_full,col_0,1/1/2016VND,Số đã nộp trong năm VND,Số phát sinh/dã thu được trong năm VND,31/12/2016VND,numeric__1/1/2016VND,numeric__Số đã nộp trong năm VND,numeric__Số phát sinh/dã thu được trong năm VND,numeric__31/12/2016VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,220.220.199,15.683.582.899,(15.683.582.899),220.220.199,220220199.0,15683582899.0,-15683582899.0,220220199.0
Văn phòng,Thuế > Văn phòng,Văn phòng,220.220.199,15.683.582.899,(15.683.582.899),220.220.199,220220199.0,15683582899.0,-15683582899.0,220220199.0
"Thuế xuất, nhập khẩu","Thuế > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",24.633.387,738.950.432,(199.262.072),564.321.747,24633387.0,738950432.0,-199262072.0,564321747.0
Văn phòng,Thuế > Văn phòng,Văn phòng,24.633.387,225.910.797,(193.297.753),57.246.431,24633387.0,225910797.0,-193297753.0,57246431.0
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,5.964.319,(5.964.319),-,,5964319.0,-5964319.0,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,507.075.316,-,507.075.316,,507075316.0,,507075316.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,,,,
Xỉ nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Các khoản phải thu khác > Xỉ nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Xỉ nghiệp Sản xuất Kinh doanh Veston Hải Phòng,151.100.672,-,(151.100.672),-,151100672.0,,-151100672.0,
,,,395.954.258,16.422.533.331,(16.033.945.643),784.541.946,395954258.0,16422533331.0,-16033945643.0,784541946.0
