row_label_raw,row_label_full,col_0,31/12/2016 > Tỷ lệ %sở hữu,31/12/2016 > Tỷ lệ %quyềnbiểu quyết,31/12/2016 > Giá gốcVND,31/12/2016 > Dự phòngVND,31/12/2016 > Giá trịhợp lýVND,1/1/2016 > Tỷ lệ %sở hữu,1/1/2016 > Tỷ lệ %quyềnbiểu quyết,1/1/2016 > Giá gốcVND,1/1/2016 > Dự phòngVND,1/1/2016 > Giá trịhợp lýVND,numeric__31/12/2016 > Tỷ lệ %sở hữu,numeric__31/12/2016 > Tỷ lệ %quyềnbiểu quyết,numeric__31/12/2016 > Giá gốcVND,numeric__31/12/2016 > Dự phòngVND,numeric__31/12/2016 > Giá trịhợp lýVND,numeric__1/1/2016 > Tỷ lệ %sở hữu,numeric__1/1/2016 > Tỷ lệ %quyềnbiểu quyết,numeric__1/1/2016 > Giá gốcVND,numeric__1/1/2016 > Dự phòngVND,numeric__1/1/2016 > Giá trịhợp lýVND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,
• Tổng Công ty-May Nhà Bè-CTCP,Công ty liên kết > • Tổng Công ty-May Nhà Bè-CTCP,• Tổng Công ty-May Nhà Bè-CTCP,"27,69%","27,69%",64.157.524.344,-,(*),"27,69%","27,69%",64.157.524.344,-,(*),0.27690000000000003,0.27690000000000003,64157524344.0,,,0.27690000000000003,0.27690000000000003,64157524344.0,,
• Công ty Cổ phần Đầu tư Vinatex Tân Tạo (iv),Công ty liên kết > • Công ty Cổ phần Đầu tư Vinatex Tân Tạo (iv),• Công ty Cổ phần Đầu tư Vinatex Tân Tạo (iv),"27,00%","27,00%",33.294.660.248,-,(*),"27,00%","27,00%",38.165.460.248,-,(*),0.27,0.27,33294660248.0,,,0.27,0.27,38165460248.0,,
• Công ty Cổ phần May Đức Giang,Công ty liên kết > • Công ty Cổ phần May Đức Giang,• Công ty Cổ phần May Đức Giang,"36,79%","36,79%",46.158.338.796,-,(*),"36,79%","36,79%",46.158.338.796,-,(*),0.3679,0.3679,46158338796.0,,,0.3679,0.3679,46158338796.0,,
• Công ty Cổ phần May Hưng Yên,Công ty liên kết > • Công ty Cổ phần May Hưng Yên,• Công ty Cổ phần May Hưng Yên,"35,01%","35,01%",47.350.233.063,-,(*),"35,01%","35,01%",47.350.233.063,-,(*),0.35009999999999997,0.35009999999999997,47350233063.0,,,0.35009999999999997,0.35009999999999997,47350233063.0,,
• Tổng Công ty-May 10-CTCP (v),Công ty liên kết > • Tổng Công ty-May 10-CTCP (v),• Tổng Công ty-May 10-CTCP (v),"35,51%","35,51%",96.422.578.752,-,(*),"35,51%","35,51%",53.808.418.752,-,(*),0.35509999999999997,0.35509999999999997,96422578752.0,,,0.35509999999999997,0.35509999999999997,53808418752.0,,
• Tổng Công ty Cổ phần May Việt Tiến (vi),Công ty liên kết > • Tổng Công ty Cổ phần May Việt Tiến (vi),• Tổng Công ty Cổ phần May Việt Tiến (vi),"31,92%","31,92%",282.635.440.119,-,(*),"47,88%","47,88%",282.635.440.119,-,(*),0.31920000000000004,0.31920000000000004,282635440119.0,,,0.4788,0.4788,282635440119.0,,
• Tổng Công ty Việt Thắng-CTCP,Công ty liên kết > • Tổng Công ty Việt Thắng-CTCP,• Tổng Công ty Việt Thắng-CTCP,"46,93%","46,93%",196.304.445.135,-,(*),"46,93%","46,93%",196.304.445.135,-,(*),0.4693,0.4693,196304445135.0,,,0.4693,0.4693,196304445135.0,,
• Công ty Cổ phần Đầu tư Xây dựng Vinatex (vii),Công ty liên kết > • Công ty Cổ phần Đầu tư Xây dựng Vinatex (vii),• Công ty Cổ phần Đầu tư Xây dựng Vinatex (vii),-,-,-,-,-,"44,16%","44,16%",7.918.626.154,-,(*),,,,,,0.4416,0.4416,7918626154.0,,
• Công ty Cổ phần May Phương Đông (vii),Công ty liên kết > • Công ty Cổ phần May Phương Đông (vii),• Công ty Cổ phần May Phương Đông (vii),-,-,-,-,-,"25,50%","25,50%",13.083.311.931,-,(*),,,,,,0.255,0.255,13083311931.0,,
• Công ty Cổ phần Vinatex Hồng Lĩnh (ii),Công ty liên kết > • Công ty Cổ phần Vinatex Hồng Lĩnh (ii),• Công ty Cổ phần Vinatex Hồng Lĩnh (ii),-,-,-,-,-,"46,50%","46,50%",36.732.808.849,-,(*),,,,,,0.465,0.465,36732808849.0,,
• Các khoản đầu tư tại các công ty liên kết khác,Công ty liên kết > • Các khoản đầu tư tại các công ty liên kết khác,• Các khoản đầu tư tại các công ty liên kết khác,,,269.272.056.185,-,(*),,,264.469.056.185,-,(*),,,269272056185.0,,,,,264469056185.0,,
,,,,,1.035.595.276.642,-,,,,1.050.783.663.576,-,,,,1035595276642.0,,,,,1050783663576.0,,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,,,,,,,
Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,Các khoản đầu tư vào cổ phiếu trên thị trường,,,,,,,,,,
• Ngân hàng Thương mại Cổ phần Quốc Dân (viii),Các khoản đầu tư vào cổ phiếu trên thị trường > • Ngân hàng Thương mại Cổ phần Quốc Dân (viii),• Ngân hàng Thương mại Cổ phần Quốc Dân (viii),-,-,-,-,-,"3,65%","3,65%",74.767.938.000,(12.424.672.050),62.343.265.950,,,,,,0.0365,0.0365,74767938000.0,-12424672050.0,62343265950.0
Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,Các khoản đầu tư vào công cụ vốn chủ sở hữu,,,,,,,,,,
• Công ty Cổ phần TCE VINA DENIM,Các khoản đầu tư vào công cụ vốn chủ sở hữu > • Công ty Cổ phần TCE VINA DENIM,• Công ty Cổ phần TCE VINA DENIM,"6,09%","6,09%",19.583.559.975,-,(*),"6,09%","6,09%",19.583.559.975,-,(*),0.060899999999999996,0.060899999999999996,19583559975.0,,,0.060899999999999996,0.060899999999999996,19583559975.0,,
• Công ty Cổ phần Đầu tư và Phát triển Bình Thắng,Các khoản đầu tư vào công cụ vốn chủ sở hữu > • Công ty Cổ phần Đầu tư và Phát triển Bình Thắng,• Công ty Cổ phần Đầu tư và Phát triển Bình Thắng,"18,02%","18,02%",6.305.925.360,-,(*),"18,02%","18,02%",6.305.925.360,-,(*),0.1802,0.1802,6305925360.0,,,0.1802,0.1802,6305925360.0,,
• Quỹ Đầu tư Việt Nam,Các khoản đầu tư vào công cụ vốn chủ sở hữu > • Quỹ Đầu tư Việt Nam,• Quỹ Đầu tư Việt Nam,"0,10%","0,10%",1.966.868.548,-,(*),"0,67%","0,67%",5.619.624.421,-,(*),0.001,0.001,1966868548.0,,,0.0067,0.0067,5619624421.0,,
• Các khoản đầu tư khác,Các khoản đầu tư vào công cụ vốn chủ sở hữu > • Các khoản đầu tư khác,• Các khoản đầu tư khác,,,24.431.940.152,-,(*),,,19.605.797.122,-,(*),,,24431940152.0,,,,,19605797122.0,,
,,,,,52.288.294.035,-,,,,125.882.844.878,(12.424.672.050),,,,52288294035.0,,,,,125882844878.0,-12424672050.0,
,,,,,3.178.306.455.334,(76.700.000.000),,,,2.880.934.019.822,(14.899.672.050),,,,3178306455334.0,-76700000000.0,,,,2880934019822.0,-14899672050.0,
