row_label_raw,row_label_full,col_0,31/12/2016 > Tỷ lệ % sở hữu,31/12/2016 > Tỷ lệ % quyền biểu quyết,31/12/2016 > Giá gốc VND,31/12/2016 > Dự phòng VND,31/12/2016 > Giá trị hợp lý VND,1/1/2016 > Tỷ lệ % sở hữu,1/1/2016 > Tỷ lệ % quyền biểu quyết,1/1/2016 > Giá gốc VND,1/1/2016 > Dự phòng VND,numeric__31/12/2016 > Tỷ lệ % sở hữu,numeric__31/12/2016 > Tỷ lệ % quyền biểu quyết,numeric__31/12/2016 > Giá gốc VND,numeric__31/12/2016 > Dự phòng VND,numeric__31/12/2016 > Giá trị hợp lý VND,numeric__1/1/2016 > Tỷ lệ % sở hữu,numeric__1/1/2016 > Tỷ lệ % quyền biểu quyết,numeric__1/1/2016 > Giá gốc VND,numeric__1/1/2016 > Dự phòng VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,,,
Tổng Công ty Cổ phần Phong Phú,Công ty con > Tổng Công ty Cổ phần Phong Phú,Tổng Công ty Cổ phần Phong Phú,"51,00%","51,00%",529.510.310.129,-,(*),"51,00%","51,00%",529.510.310.129,-,0.51,0.51,529510310129.0,,,0.51,0.51,529510310129.0,
Công ty TNHH Đệt Kim Đông Phương,Công ty con > Công ty TNHH Đệt Kim Đông Phương,Công ty TNHH Đệt Kim Đông Phương,100%,100%,156.584.867.884,-,(*),100%,100%,156.584.867.884,-,1.0,1.0,156584867884.0,,,1.0,1.0,156584867884.0,
Công ty TNHH Nhà nước Một thành viên Đệt 8-3 (ii),Công ty con > Công ty TNHH Nhà nước Một thành viên Đệt 8-3 (ii),Công ty TNHH Nhà nước Một thành viên Đệt 8-3 (ii),-,-,-,-,-,100%,100%,162.142.895.063,-,,,,,,1.0,1.0,162142895063.0,
Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con > Tổng Công ty Cổ phần Đệt May Hòa Thọ,Tổng Công ty Cổ phần Đệt May Hòa Thọ,"64,96%","64,96%",150.422.075.950,-,(*),"68,21%","68,21%",150.422.075.950,-,0.6496,0.6496,150422075950.0,,,0.6820999999999999,0.6820999999999999,150422075950.0,
Công ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,Công ty con > Công ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,Công ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,"68,34%","68,34%",23.107.500.000,(15.795.000.000),(*),"68,34%","68,34%",23.107.500.000,-,0.6834,0.6834,23107500000.0,-15795000000.0,,0.6834,0.6834,23107500000.0,
Tổng Công ty Cổ phần Đệt May Hà Nội (ii),Công ty con > Tổng Công ty Cổ phần Đệt May Hà Nội (ii),Tổng Công ty Cổ phần Đệt May Hà Nội (ii),-,-,-,-,-,"57,57%","57,57%",134.385.103.590,-,,,,,,0.5757,0.5757,134385103590.0,
Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con > Tổng Công ty Cổ phần Đệt May Nam Định,Tổng Công ty Cổ phần Đệt May Nam Định,"53,67%","53,67%",81.555.023.813,-,(*),"53,67%","53,67%",81.555.023.813,-,0.5367000000000001,0.5367000000000001,81555023813.0,,,0.5367000000000001,0.5367000000000001,81555023813.0,
Công ty TNHH Một thành viên Đệt kim Đông Xuân,Công ty con > Công ty TNHH Một thành viên Đệt kim Đông Xuân,Công ty TNHH Một thành viên Đệt kim Đông Xuân,100%,100%,115.815.363.458,-,(*),100%,100%,115.815.363.458,-,1.0,1.0,115815363458.0,,,1.0,1.0,115815363458.0,
