row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,62.544.728.600,535.150.000,63.079.878.600,62544728600.0,535150000.0,63079878600.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,16.289.120.610,-,16.289.120.610,16289120610.0,,16289120610.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,1.375.602.000,1.375.602.000,,1375602000.0,1375602000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,78.833.849.210,1.910.752.000,80.744.601.210,78833849210.0,1910752000.0,80744601210.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.005.170.728,535.150.000,10.540.320.728,10005170728.0,535150000.0,10540320728.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.638.730.776,371.322.329,2.010.053.105,1638730776.0,371322329.0,2010053105.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.643.901.504,906.472.329,12.550.373.833,11643901504.0,906472329.0,12550373833.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,52.539.557.872,-,52.539.557.872,52539557872.0,,52539557872.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,67.189.947.706,1.004.279.671,68.194.227.377,67189947706.0,1004279671.0,68194227377.0
